Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Hard Rock Cafe Amsterdam,8.6,25842,3.6,154,4.3,25688,,"American, Burgers, Beer Bar","Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJweXO1ugJxkcR2nckxDGWbIc,2026-03-30T03:01:47Z,false
2,De Foodhallen,9.0,22961,4.3,629,4.5,22332,,Food Court,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJtWMWEeAJxkcR7PV7zX9aRh0,2026-03-30T03:01:47Z,false
3,The Seafood Bar,9.4,16783,4.5,248,4.7,16535,,Seafood,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJcUBJu8EJxkcRBYpeeTwA67M,2026-03-30T03:01:47Z,false
4,Winkel 43,9.0,16178,4.5,920,4.5,15258,,"Desserts, Cafes","Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJAUBsos8JxkcRwnuLcQmb2-M,2026-03-30T03:01:47Z,false
5,The Pancake Bakery,8.6,10819,4.1,728,4.3,10091,,Pancakes,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJDdV0fsUJxkcREOh_Cj5402o,2026-03-30T03:01:47Z,false
6,The Seafood Bar,9.4,9910,4.1,272,4.7,9638,,Seafood,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJ9XOZr-UJxkcRi1-aAUAeGt0,2026-03-30T03:01:47Z,false
7,The Pantry,9.4,9841,4.6,613,4.7,9228,,Modern European,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJG9c0F-kJxkcR0Yd6ANByMLE,2026-03-30T03:01:47Z,false
8,Sea Palace,8.4,9153,3.4,152,4.2,9001,,Dim Sum,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJG8vAuLoJxkcRIubMSfPq7H8,2026-03-30T03:01:47Z,false
9,PANCAKES Amsterdam,8.4,8925,4.1,204,4.2,8721,,Pancakes,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJc1GMMbgJxkcRXOaOht2cF6k,2026-03-30T03:01:47Z,false
10,Cannibale Royale,9.0,7026,4.4,281,4.5,6745,,Brasseries,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJdU3KxsEJxkcRyzZ6LZCnBeg,2026-03-30T03:01:47Z,false
11,Omelegg - City Centre,9.2,6466,4.6,336,4.6,6130,,Breakfast & Brunch,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJNVW2y7kJxkcR9aOE9tnlp08,2026-03-30T03:01:47Z,false
12,The Seafood Bar,9.6,6458,-,-,4.8,6458,,Seafood Restaurant,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJP3bYrGIJxkcRA5cOiiSiKaE,2026-03-30T03:01:47Z,false
13,Oriental City,8.4,6347,3.8,163,4.2,6184,,"Dim Sum, Cantonese","Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJPdJhTb8JxkcR65Z6_YwAakk,2026-03-30T03:01:47Z,false
14,Florentin brunch,9.6,6105,-,-,4.8,6105,$,Brunch Restaurant,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJfxDFMbwJxkcReUviSODvJb0,2026-03-30T03:01:47Z,false
15,CAU Carne Argentina,9.4,6056,3.9,153,4.7,5903,,"Steakhouses, Argentine","Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJoSSSVMcJxkcRuym7vPeNoRY,2026-03-30T03:01:47Z,false
16,Moeders,9.0,6027,4.4,344,4.5,5683,,Modern European,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJU9-Lo94JxkcRBzlvVAQV7n8,2026-03-30T03:01:47Z,false
17,Ramen-Ya,8.6,5562,3.9,221,4.3,5341,,Ramen,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJ74XcqrgJxkcR9g0UqSG4KPU,2026-03-30T03:01:47Z,false
18,Greenwoods Singel,9.2,5410,4.6,194,4.6,5216,,Breakfast & Brunch,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJk6EAQsYJxkcRlqpS70FIz_w,2026-03-30T03:01:47Z,false
19,Bakers & Roasters,9.2,5337,4.5,598,4.6,4739,,"Breakfast & Brunch, Coffee & Tea","Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJCX5FdO0JxkcRor975fXq3lA,2026-03-30T03:01:47Z,false
20,Café De Klos,9.0,4934,4.4,479,4.5,4455,,Barbeque,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJj1L0u-kJxkcRjqjnVEm7B6o,2026-03-30T03:01:47Z,false
21,Cannibale Royale,9.0,4891,4.5,207,4.5,4684,,Modern European,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJbwT5ULgJxkcRuzudMY_6sIg,2026-03-30T03:01:47Z,false
22,Miri Mary Indian Restaurant Amsterdam,9.6,4830,-,-,4.8,4830,,"Indian Restaurant, Brunch Restaurant, Cocktail Bar","Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJN4MvEgEJxkcRDZA-ZxJKVEU,2026-03-30T03:01:47Z,false
23,Blue Amsterdam,9.0,4561,4.2,82,4.5,4479,,"Bars, Cafes, Breakfast & Brunch","Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJI4xu08EJxkcRe2_KVZ_zFys,2026-03-30T03:01:47Z,false
24,Bird Thais Restaurant,8.4,4533,4.0,266,4.2,4267,,Thai,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJU2qVoLkJxkcRB8mgtNMmmEc,2026-03-30T03:01:47Z,false
25,Burger Bar,9.0,4486,4.3,203,4.5,4283,,Burgers,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJZZZZ8scJxkcR-pn89nxrP7o,2026-03-30T03:01:47Z,false
26,La Perla,8.8,4370,4.3,291,4.4,4079,,Italian,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJB8x7vNoJxkcRB_tJJdcvNsc,2026-03-30T03:01:47Z,false
27,Pesca Seafood Restaurant Amsterdam,9.2,4348,4.5,99,4.6,4249,,Seafood,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJrRtggNsJxkcRIpqO9nQb448,2026-03-30T03:01:47Z,false
28,Café Loetje,8.6,4285,4.0,217,4.3,4068,,Steakhouses,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJ4cQymvEJxkcR7DCtnd76R0Q,2026-03-30T03:01:47Z,false
29,Restaurant Olijfje,9.4,4186,4.3,49,4.7,4137,,Mediterranean,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJmz2W_bwJxkcR9aW1XLdd9LU,2026-03-30T03:01:47Z,false
30,Omelegg De Pijp,9.2,4171,4.6,323,4.6,3848,,Breakfast & Brunch,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJG42bTvMJxkcRJ0fkdC3XGvw,2026-03-30T03:01:47Z,false
31,Black and Blue,8.6,3735,4.2,123,4.3,3612,,Steakhouses,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJYdz3D8UJxkcRWXG3uo2Em14,2026-03-30T03:01:47Z,false
32,The Happy Pig,8.8,3708,4.5,166,4.4,3542,,Pancakes,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJab10ZcEJxkcR8CYO6k5eB4E,2026-03-30T03:01:47Z,false
33,De Kas,9.4,3695,4.5,191,4.7,3504,,Modern European,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJJ-S23XoJxkcRDsSNU2mgH34,2026-03-30T03:01:47Z,false
34,Van Kerkwijk,9.2,3591,4.6,251,4.6,3340,,Cafes,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJ09vXt8AJxkcRu2BMg6JrCSU,2026-03-30T03:01:47Z,false
35,PANCAKES Amsterdam Negen Straatjes,8.4,3371,4.3,343,4.2,3028,,Pancakes,"Amsterdam, Netherlands",https://www.google.com/maps/place/?q=place_id:ChIJm4VbI8MJxkcRI2kOSMgb0SM,2026-03-30T03:01:47Z,false
