Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,STK Steakhouse,9.0,25842,3.4,2482,4.6,23360,$$$$,"Steakhouses, New American, Cocktail Bars","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJ07TVp0ME9YgRmzH4SKordbc,2026-03-28T21:27:48.684Z,false
2,Mary Mac's Tea Room,8.5,20103,3.9,5477,4.4,14626,$$,"Southern, Venues & Event Spaces, Bars","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJgUolJWwE9YgRnxg5IduXOsg,2026-03-28T21:27:48.684Z,false
3,Two Urban Licks,9.0,18074,3.8,3639,4.7,14435,$$$,"Bars, New American","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJr3-OMRsE9YgRNJTNacJKKqQ,2026-03-28T21:27:48.684Z,false
4,Atlanta Breakfast Club,9.0,17911,4.5,8219,4.5,9692,$$,"Southern, Breakfast & Brunch, American","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJY4335H0E9YgRpVDEfTRik70,2026-03-28T21:27:48.684Z,false
5,Fox Bros. Bar-B-Q,9.0,14986,4.3,5022,4.6,9964,$$,"Barbeque, American","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJPaAgP6wG9YgRGRcSsxETyjE,2026-03-28T21:27:48.684Z,false
6,Rreal Tacos - Midtown,9.5,14686,4.2,1119,4.8,13567,$$,Tacos,"Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJyWNE-mgE9YgR1thAVNnhDpc,2026-03-28T21:27:48.684Z,false
7,Delbar Middle Eastern,9.8,13362,4.6,1108,4.9,12254,$$$,"Persian/Iranian, Lebanese","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJ9WJXzEEF9YgRSTQ0utn07ww,2026-03-28T21:27:48.684Z,false
8,Sugar Factory American Brasserie - Atlanta,7.9,10898,2.3,978,4.1,9920,$$$,"American, Desserts, Salad","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJq6rqGUME9YgRxvA4qyOGxLg,2026-03-28T21:27:48.684Z,false
9,Six Feet Under Pub & Fish House - Grant Park,8.8,10715,3.6,1260,4.5,9455,$$,"Seafood, Pubs, Sandwiches","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJy8XTe-0D9YgRaVdKqZrVbGA,2026-03-28T21:27:48.684Z,false
10,South City Kitchen Midtown,9.2,10340,4.4,3555,4.7,6785,$$,Southern,"Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJvQqtX0ME9YgR-X6ukvNSt6I,2026-03-28T21:27:48.684Z,false
11,Antico Pizza,9.0,10234,4.3,3896,4.6,6338,$$,Pizza,"Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJaU_5DHoE9YgRZ6C9Mxbyftk,2026-03-28T21:27:48.684Z,false
12,Louisiana Bistreaux - East Point,8.8,9882,4.4,2660,4.4,7222,$$,"Cajun/Creole, Seafood","Atlanta, GA",https://www.google.com/maps/place/?q=place_id:ChIJl8-36E399IgRE8syv3RQlbs,2026-03-28T21:27:48.684Z,false
