Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Terry Black's Barbecue,9.3,33011,4.5,8756,4.7,24255,$$,"Barbeque, Sandwiches, Southern","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJZSqCDhu1RIYRx1iRoCvCOsA,2026-03-28T21:21:10.578Z,false
2,Corner Restaurant,9.6,17637,,,4.8,17637,,"American Restaurant, Bar","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJxcCceAi1RIYR9AqXT8eWDyc,2026-03-28T21:21:10.578Z,false
3,Caroline,9.5,15761,4.2,1641,4.8,14120,$$,"Bakeries, New American, Breakfast & Brunch","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJQyfp5wm1RIYRd7IXfFuFzTg,2026-03-28T21:21:10.578Z,false
4,Moonshine Grill,9.0,13651,4.4,6383,4.6,7268,$$,"Southern, Breakfast & Brunch, Cocktail Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJzTkDkai1RIYR9PpN5L6zHD0,2026-03-28T21:21:10.578Z,false
5,Franklin Barbecue,9.2,13453,4.5,6416,4.7,7037,$$,Barbeque,"Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJM8w7rqS1RIYRhEz2-KuoqzE,2026-03-28T21:21:10.578Z,false
6,Hula Hut,8.0,10141,3.4,2240,4.2,7901,$$,"Tex-Mex, Mexican, Polynesian","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJcwUfklS1RIYRsDrTxNbAu_g,2026-03-28T21:21:10.578Z,false
7,1618 Asian Fusion,9.5,9867,4.7,4042,4.8,5825,$$,"Vietnamese, Thai, Dim Sum","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJS5e6G7a1RIYRxVd0-HJFtRs,2026-03-28T21:21:10.578Z,false
8,Aba,9.3,8941,4.4,1847,4.7,7094,$$$,"Mediterranean, Bars, Seafood","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJDfhk1ja1RIYR3NIISvjn88k,2026-03-28T21:21:10.578Z,false
9,Zanzibar,9.5,8791,4.0,608,4.8,8183,$$,"Tiki Bars, Lounges","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJFaJVsLS1RIYRcUZU0nlHQJ8,2026-03-28T21:21:10.578Z,false
10,Cooper's Old Time Pit Bar-B-Que,8.6,8753,4.0,2233,4.4,6520,$$,"Barbeque, Sports Bars, Cocktail Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJoZsHcQi1RIYRfyBnp0UxNMI,2026-03-28T21:21:10.578Z,false
11,Kura Revolving Sushi Bar,8.6,8547,3.8,1505,4.4,7042,$$,"Conveyor Belt Sushi, Sushi Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJ-2eYqDfKRIYRcmm7KZv9xM8,2026-03-28T21:21:10.578Z,false
12,Culinary Dropout,8.6,8240,4.1,2150,4.4,6090,$$,New American,"Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJ1eAeVnLMRIYR_VB5FIj_LuE,2026-03-28T21:21:10.578Z,false
13,Loro Asian Smokehouse & Bar,8.9,8064,4.3,2544,4.5,5520,$$,"Smokehouse, Asian Fusion, Cocktail Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJH3w8zB61RIYRhKc2dFxr5bs,2026-03-28T21:21:10.578Z,false
14,Stiles Switch BBQ & Brew,8.9,7794,4.1,2136,4.6,5658,$$,"Barbeque, Chicken Wings","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJcWkNdkjKRIYRDYaljkgdUqU,2026-03-28T21:21:10.578Z,false
15,888 Pan Asian Restaurant,8.8,7418,4.1,2276,4.5,5142,$$,"Vietnamese, Thai, Chinese","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJR-vXFGi0RIYRFzOJHr2Xkwc,2026-03-28T21:21:10.578Z,false
16,Torchy's Tacos,8.8,6926,4.0,1073,4.5,5853,$$,"Tacos, Tex-Mex","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJh_3dRvu0RIYRLBSOysYanEY,2026-03-28T21:21:10.578Z,false
17,Salty Sow,8.9,6651,4.3,3426,4.6,3225,$$$,"American, Gastropubs","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJ61i-aZO1RIYRKgxgoJHJc28,2026-03-28T21:21:10.578Z,false
18,la Barbecue,8.7,6636,4.3,3200,4.4,3436,$$,"Barbeque, Sandwiches","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJIR1tw661RIYRUgfHust5Vv0,2026-03-28T21:21:10.578Z,false
19,Jack Allen's Kitchen,9.1,6593,4.4,2164,4.6,4429,$$,American,"Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJWwxVGXhJW4YR9Doub51X9VE,2026-03-28T21:21:10.578Z,false
20,Uchi Austin,9.0,6577,4.4,3173,4.6,3404,$$$$,"Sushi Bars, Japanese, Beer, Wine & Spirits","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJz2Whyx61RIYR7mCeZje-QWw,2026-03-28T21:21:10.578Z,false
21,Corinne Austin,9.5,6138,4.1,417,4.8,5721,$$$,"New American, Bars, Breakfast & Brunch","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJB5Ku76K1RIYRwGbv_w3DySk,2026-03-28T21:21:10.578Z,false
22,Odd Duck,9.2,6060,4.4,2434,4.7,3626,$$$,"American, Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJi8__nx-1RIYR56djED9FLLE,2026-03-28T21:21:10.578Z,false
23,Clay Pit,8.2,6050,3.9,2180,4.2,3870,$$,"Indian, Cocktail Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJWzc2g3W1RIYRjO8jatRnEYs,2026-03-28T21:21:10.578Z,false
24,Jewboy Burgers,9.3,5969,4.6,1704,4.7,4265,$$,"Burgers, Diners","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJlb0ad2DKRIYRXx2jM3DrNPQ,2026-03-28T21:21:10.578Z,false
25,Casino El Camino,8.6,5936,3.8,1588,4.5,4348,$$,"Dive Bars, American, Cocktail Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJUXQdQqa1RIYRtnSiyRQAxE0,2026-03-28T21:21:10.578Z,false
26,Uchiko Austin,9.2,5779,4.5,2391,4.7,3388,$$$$,"Sushi Bars, Gluten-Free, Japanese","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJXQ-Uy2LKRIYR3W5SjLhBBj0,2026-03-28T21:21:10.578Z,false
27,Fonda San Miguel,8.9,4951,4.1,1347,4.6,3604,$$$,Mexican,"Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJc7Guu_XKRIYRSxDQUZwxkns,2026-03-28T21:21:10.578Z,false
28,"Snooze, an A.M. Eatery",8.8,4893,4.1,1328,4.5,3565,$$,"Breakfast & Brunch, American, Cocktail Bars","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJM_9YFYfKRIYRU4DH04e43y0,2026-03-28T21:21:10.578Z,false
29,Pinthouse Pizza,9.1,4720,4.2,1444,4.7,3276,$$,"Pizza, Brewpubs","Austin, TX",https://www.google.com/maps/place/?q=place_id:ChIJV7paB2HKRIYR5I0plWFqp18,2026-03-28T21:21:10.578Z,false
