Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Thipsamai Padthai Pratoopee,8.4,12229,,,4.2,12229,,"Noodle Shop, Thai Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJxU5YeBaZ4jARvm8EVZYGjGk,2026-03-28T21:30:21.718Z,true
2,The Island Restaurant Thai food & Vegetarian And Bar.,9.8,10684,,,4.9,10684,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJBYCkBQCZ4jARMk27YRVj-vM,2026-03-28T21:30:21.718Z,true
3,Indian Express,9.8,9806,,,4.9,9806,,"Indian Restaurant, Thai Restaurant, Fine Dining Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJZx_rgQ2f4jARkCOc1rNDSOs,2026-03-28T21:30:21.718Z,true
4,RONGROS,9.4,4384,,,4.7,4384,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJjYPUa8GZ4jARi9fgigQOiR8,2026-03-28T21:30:21.718Z,true
5,The Local,8.8,3201,,,4.4,3201,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJc881Nfue4jARsIcIs9ZqPJE,2026-03-28T21:30:21.718Z,true
6,Horsamut,9.4,3137,,,4.7,3137,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJn_VnZj2Z4jARxVd3F-oS4Fc,2026-03-28T21:30:21.718Z,true
7,Blue Elephant Bangkok Sathorn Cooking School & Restaurant,9.0,3044,,,4.5,3044,,"Thai Restaurant, Fine Dining Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJS7aN2c6Y4jARp2YilGc2Lg0,2026-03-28T21:30:21.718Z,true
8,Farmhouse Kitchen Thai Cuisine,8.8,3026,,,4.4,3026,,"Thai Restaurant, Catering Service, Asian Fusion Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJNZloNTd-j4ARxGMOXZp7KfI,2026-03-28T21:30:21.718Z,true
9,Ojo Bangkok,9.0,2817,,,4.5,2817,,Mexican Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJkyzUoEyZ4jARDEHlKpWbX50,2026-03-28T21:30:21.718Z,true
10,The Family,9.6,2593,,,4.8,2593,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJhW6hs4uZ4jARwfIKUtEHyRw,2026-03-28T21:30:21.718Z,true
11,Myth,9.4,2521,,,4.7,2521,,"Thai Restaurant, Vegan Restaurant, Vegetarian Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJrfglXG2Z4jAREUZy5E5nh9E,2026-03-28T21:30:21.718Z,true
12,Bangkok Heightz Rooftop (Restaurant & Bar 39th floor),9.6,2486,,,4.8,2486,,"Thai Restaurant, Bar","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ_QYAIOOe4jARxBtLupRX4u4,2026-03-28T21:30:21.718Z,true
13,Sri Trat Restaurant and Bar,9.0,2470,,,4.5,2470,,"Thai Restaurant, Bar","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJoc-7O_ye4jARa2GblY_w4Bo,2026-03-28T21:30:21.718Z,true
14,Tom Yum Kung,9.0,2453,,,4.5,2453,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJL9eRVW2Z4jARYJOdOmx7iC0,2026-03-28T21:30:21.718Z,true
15,Madam Saranair Thai Food restaurant,9.0,2174,,,4.5,2174,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ1bV7lOSe4jARZfwCIKXKyNU,2026-03-28T21:30:21.718Z,true
16,Rosewood Restaurant,9.4,2150,,,4.7,2150,,"Thai Restaurant, European Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJx3d_H5eY4jARhqZJe5WoZa0,2026-03-28T21:30:21.718Z,true
17,Kin Khao,8.4,2096,,,4.2,2096,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJn_ZxYo-AhYAR22wJt4at2K0,2026-03-28T21:30:21.718Z,true
18,Medici Playhouse Italian Restaurant & Bar Bangkok,9.6,1643,,,4.8,1643,,"Italian Restaurant, Wine Bar, Cocktail Bar","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJWxFU1due4jARqxJjpOmgCdA,2026-03-28T21:30:21.718Z,true
19,SEEN Restaurant & Bar Bangkok,9.2,1621,,,4.6,1621,,"Wine Bar, Cocktail Bar, Bar","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJg0Kb2I6Y4jARlIfc8vnJ1YU,2026-03-28T21:30:21.718Z,true
20,Smith & Co. (One Bangkok),9.6,1557,,,4.8,1557,,,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ_6xDXwGf4jARMgdmA_pRNsM,2026-03-28T21:30:21.718Z,true
21,White Flower Factory - ครัวดอกไม้ขาว,9.2,1507,,,4.6,1507,,"Thai Restaurant, Fusion Restaurant, Dessert Shop","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ937RdtKe4jARPRuzBAQLNxc,2026-03-28T21:30:21.718Z,true
22,THE SIXTH 6th,9.4,1468,,,4.7,1468,,"Thai Restaurant, Asian Fusion Restaurant, Fusion Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJfX5VxgWZ4jARunaN7-8daME,2026-03-28T21:30:21.718Z,true
23,Lao Table,8.4,1406,,,4.2,1406,,"Asian Restaurant, Thai Restaurant, Bar","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJlzpQKH2AhYARxeGIpYu53Tw,2026-03-28T21:30:21.718Z,true
24,Le Du Kaan,8.8,1392,,,4.4,1392,,"Thai Restaurant, Cocktail Bar, Bar","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJnZCts5ef4jARUCL9qleu_oc,2026-03-28T21:30:21.718Z,true
25,ร้านขจร | Kajohn Authentic Southern Thai Cuisine,9.8,1361,,,4.9,1361,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJY3fswo-Z4jARm0mwI29TW1M,2026-03-28T21:30:21.718Z,true
26,Kurissara Thai Cuisine,9.2,1167,,,4.6,1167,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJ2TsTkp6Z4jARpBLw7TD3Qlc,2026-03-28T21:30:21.718Z,true
27,Sra Bua by Kiin Kiin,9.2,1012,,,4.6,1012,,"Thai Restaurant, Diner, Fine Dining Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJIdQ-0s2e4jAREzCRlcXp3qc,2026-03-28T21:30:21.718Z,true
28,แซ่บนิรันดร์ - ZAABNIRAN One Bangkok,9.8,1010,,,4.9,1010,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJoT08LVCf4jARRVQBaTROWV8,2026-03-28T21:30:21.718Z,true
29,CHAR Bangkok,9.2,899,,,4.6,899,,"Bar And Grill, Bar","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJAd83G9ye4jARK_3i8uTXKp8,2026-03-28T21:30:21.718Z,true
30,PEPE Bangkok,9.6,886,,,4.8,886,,"Asian Fusion Restaurant, Fusion Restaurant, Asian Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJIUHmOe2f4jAR2l7P6OOm4hg,2026-03-28T21:30:21.718Z,true
31,Paste Bangkok,8.4,792,,,4.2,792,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJv7TOAdCe4jARIzQBBoyuBVY,2026-03-28T21:30:21.718Z,true
32,Akira Back,9.4,732,,,4.7,732,,"Japanese Restaurant, Asian Fusion Restaurant, Fusion Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJdZ8wAwOf4jARWGdeSBVyS-M,2026-03-28T21:30:21.718Z,true
33,Royal Osha,9.0,693,,,4.5,693,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJH2rBq9ie4jAR2kriHxu0cJ4,2026-03-28T21:30:21.718Z,true
34,Ms.Jigger,9.6,686,,,4.8,686,,Italian Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJVaRrytaf4jARCjRe5akUUwg,2026-03-28T21:30:21.718Z,true
35,BIB: Break in Bangkok,9.6,675,,,4.8,675,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJs9xmR0qf4jARS8uu9Dx9pSw,2026-03-28T21:30:21.718Z,true
36,KHAAN Thai Fine Dining Restaurant,9.4,623,,,4.7,623,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJm68HaIqf4jARhHLocwFgtyg,2026-03-28T21:30:21.718Z,true
37,SOI Bangkok Restaurant,9.2,584,,,4.6,584,,,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJF17aWaSZ4jARedn2EWVUJ_w,2026-03-28T21:30:21.718Z,true
38,Côte by Mauro Colagreco,9.6,580,,,4.8,580,,"Mediterranean Restaurant, French Restaurant, Italian Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJf8OOlnmZ4jAR1XxCVTOPfPY,2026-03-28T21:30:21.718Z,true
39,Daryaganj Bangkok,9.6,571,,,4.8,571,,"North Indian Restaurant, Bar And Grill, Family Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJxeozR5Sf4jARtDhFsel4EXw,2026-03-28T21:30:21.718Z,true
40,Sorn,9.2,549,,,4.6,549,,"Fine Dining Restaurant, Thai Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJWfYJ3QWf4jAR9erXv7kK7sA,2026-03-28T21:30:21.718Z,true
41,Ox & Embers - Steak Club & Cellar,9.6,527,,,4.8,527,,"Steak House, Italian Restaurant, Live Music Venue","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJdVte1VCf4jARw6kDNtknrEs,2026-03-28T21:30:21.718Z,true
42,iThai Bangkok Street Food,8.4,449,,,4.2,449,,"Thai Restaurant, Asian Restaurant, Fast Food Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJVQ558ZGAhYAReOLJJpE1T3U,2026-03-28T21:30:21.718Z,true
43,BANGKOK STREET Thai Street Food,8.8,438,,,4.4,438,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJHfxEtLiAhYARDECAdLP2408,2026-03-28T21:30:21.718Z,true
44,Salathip,9.0,376,,,4.5,376,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJqfYWYsSY4jARQjVCYA7Go-w,2026-03-28T21:30:21.718Z,true
45,Mezzaluna,9.0,359,,,4.5,359,,Fine Dining Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJmXuobsWY4jARc3EtJwWV21s,2026-03-28T21:30:21.718Z,true
46,Restaurant Coda Bangkok,9.4,327,,,4.7,327,,"Fine Dining Restaurant, Thai Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJr81GL1ef4jARIBWQ8vluIr4,2026-03-28T21:30:21.718Z,true
47,TAAN Bangkok - Thai Fine Dining Restaurant,9.2,324,,,4.6,324,,"Thai Restaurant, Fine Dining Restaurant","Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJbV7JakqZ4jARz5eeuH1tuxE,2026-03-28T21:30:21.718Z,true
48,Pachi Bangkok,9.6,267,,,4.8,267,,Thai Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJacZ7Kkqf4jARbgxcusOsK-o,2026-03-28T21:30:21.718Z,true
49,Chef's Table by Lebua เชฟส์เทเบิล บาย เลอบัว,9.2,198,,,4.6,198,,French Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJkbyJIMeZ4jARgc1-140HJkU,2026-03-28T21:30:21.718Z,true
50,Signature Bangkok,9.4,188,,,4.7,188,,French Restaurant,"Bangkok, Thailand",https://www.google.com/maps/place/?q=place_id:ChIJRxVBdTyf4jARGLWgEHjEIq4,2026-03-28T21:30:21.718Z,true
