Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,El Nacional,8.8,40278,3.8,458,4.4,39820,,"Seafood, Tapas Bars, Brasseries","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJM5FFbvKipBIRdWugDh577Ao,2026-03-28T21:30:59.393Z,false
2,Don Asador,9.6,26877,,,4.8,26877,,"Argentinian Restaurant, Steak House, Family Restaurant","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJP9t20GijpBIRRoc04WuZuwI,2026-03-28T21:30:59.393Z,false
3,Cerveseria Catalana,8.8,25648,4.4,1818,4.4,23830,,Spanish,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ14DbPpKipBIROjfbj6-0FW0,2026-03-28T21:30:59.393Z,false
4,Ciutat Comtal,8.8,23732,4.3,1405,4.4,22327,,"Tapas Bars, Spanish, Catalan","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJmSmV-_KipBIR1rXbKL9Yhp4,2026-03-28T21:30:59.393Z,false
5,7 Portes,8.6,20397,3.4,382,4.3,20015,,"Mediterranean, Catalan","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJUbEvx_-ipBIRtgarQLBWDZ0,2026-03-28T21:30:59.393Z,false
6,Vinitus,9.0,17139,4.5,448,4.5,16691,,Tapas Bars,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ3XUCr0K5Z0ARbKq1CqAKgJQ,2026-03-28T21:30:59.393Z,false
7,Al Arabiya Restaurant & Cafe,9.6,17133,,,4.8,17133,,"Lebanese Restaurant, Middle Eastern Restaurant","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJvaXrXPqipBIRFkfZO5V1RjI,2026-03-28T21:30:59.393Z,false
8,La Flauta,9.0,13015,4.3,285,4.5,12730,,"Spanish, Tapas/Small Plates","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJbUeDbIyipBIRhf2n9OIXpig,2026-03-28T21:30:59.393Z,false
9,La Lolita Barcelona,9.0,12683,,,4.5,12683,,"Halal Restaurant, Mediterranean Restaurant","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJFbGR9zCjpBIRMe35kJinIrY,2026-03-28T21:30:59.393Z,false
10,Tapa Tapa,8.4,12268,2.9,195,4.2,12073,,"Spanish, Tapas Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJC2uTpZeipBIR89h7dQLu61k,2026-03-28T21:30:59.393Z,false
11,Flax & Kale,8.6,11774,4.2,310,4.3,11464,,"Spanish, Breakfast & Brunch, Vegan","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ4XlZvPSipBIRiwFnM2-R_W8,2026-03-28T21:30:59.393Z,false
12,Honest Greens Plaça Catalunya,9.0,11409,,,4.5,11409,,"Vegan Restaurant, Fast Food Restaurant, Mediterranean Restaurant","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJnx1hjdyjpBIR4nH2Pz1ry10,2026-03-28T21:30:59.393Z,false
13,Restaurant La Tasqueta de Blai,9.0,10699,4.5,257,4.5,10442,,"Tapas Bars, Tabernas, Tapas/Small Plates","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ4Ruxd12ipBIR-DkqG6wqVGQ,2026-03-28T21:30:59.393Z,false
14,Brunch & Cake,8.8,10460,4.2,980,4.4,9480,,"Breakfast & Brunch, Desserts, Acai Bowls","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJZf-OTYyipBIR-6LQH2LDW3A,2026-03-28T21:30:59.393Z,false
15,Can Paixano,9.2,10131,4.6,413,4.6,9718,,"Tapas/Small Plates, Spanish, Dive Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJI1v-6f-ipBIRTeac1KdrUcg,2026-03-28T21:30:59.393Z,false
16,Antigua,9.2,9885,4.3,29,4.6,9856,,Mediterranean,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJNc7xxZ6ipBIRnrVCrmxgS4g,2026-03-28T21:30:59.393Z,false
17,Sensi,9.4,9744,4.5,434,4.7,9310,,"Tapas/Small Plates, Tapas Bars, Cocktail Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ-Tjd-VWipBIR9AOzqm5NzEY,2026-03-28T21:30:59.393Z,false
18,Prado de Flores Restaurant,9.6,9680,4.4,52,4.8,9628,,"Bars, Italian, Mediterranean","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ4aTqxfaipBIRi9Kz759j6GI,2026-03-28T21:30:59.393Z,false
19,Botafumeiro,8.8,9292,4.0,220,4.4,9072,,"Seafood, Galician, Spanish","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJa0Y5HZiipBIROWRrQ0RCjVA,2026-03-28T21:30:59.393Z,false
20,Restaurant La Boqueria,9.2,9114,3.4,25,4.6,9089,,"Tapas Bars, Spanish, Mediterranean","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJWXpb8PeipBIR9qHIBx1PV4U,2026-03-28T21:30:59.393Z,false
21,ABANIC,9.6,8892,,,4.8,8892,,"Spanish Restaurant, Tapas Restaurant, Cocktail Bar","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJZ45huwCjpBIRA2de0hBdZAg,2026-03-28T21:30:59.393Z,false
22,Arume,9.4,8890,4.6,775,4.7,8115,,"Mediterranean, Tapas Bars, Galician","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJf8nit1-ipBIRzvX6TvflY5E,2026-03-28T21:30:59.393Z,false
23,Bodega Biarritz 1881,9.4,8706,4.5,144,4.7,8562,,"Bars, Spanish","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJA-c18FeipBIRw8n-UGwjVLk,2026-03-28T21:30:59.393Z,false
24,Restaurant La Taverna del Coure,9.4,8690,,,4.7,8690,,"Tapas Restaurant, Spanish Restaurant, Mediterranean Restaurant","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJEde25_6ipBIRDDl4GEV98B4,2026-03-28T21:30:59.393Z,false
25,The Steak House,9.4,8664,,,4.7,8664,,,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJk1jIF0WjpBIRDI-K2RKQUj8,2026-03-28T21:30:59.393Z,false
26,Rosa Negra,8.8,8647,4.2,281,4.4,8366,,Mexican,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJv6nmFvqipBIRhK65nVKPSlw,2026-03-28T21:30:59.393Z,false
27,Els 4 Gats,8.2,8565,3.4,240,4.1,8325,,Spanish,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJ4ecss_CipBIRzAR_ag45hM8,2026-03-28T21:30:59.393Z,false
28,Cañete,9.2,8376,4.6,571,4.6,7805,,"Tapas/Small Plates, Tapas Bars, Spanish","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJGcsrQViipBIRY_vN9Piydxw,2026-03-28T21:30:59.393Z,false
29,La Pepita,9.0,8128,4.6,647,4.5,7481,,"Tapas Bars, Pubs","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJl7hQSJSipBIRk7b0Z4WCgwE,2026-03-28T21:30:59.393Z,false
30,Milk Bar & Bistro,9.4,7597,4.5,503,4.7,7094,,"American, Spanish, Cocktail Bars","Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJtV_nRP-ipBIRmbzGVo7KW10,2026-03-28T21:30:59.393Z,false
31,Teresa Carles,8.8,7476,4.5,406,4.4,7070,,Vegetarian,"Barcelona, Spain",https://www.google.com/maps/place/?q=place_id:ChIJH1MVbvSipBIRl_BB017gBB4,2026-03-28T21:30:59.393Z,false
