Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,STK Steakhouse,9.5,18988,2.8,248,4.8,18740,,"Steakhouses, New American, Cocktail Bars","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJaeUD4cd744kRazL4bmbMAgk,2026-03-28T21:26:09.053Z,false
2,Fogo de Chão,9.2,13618,3.9,1339,4.7,12279,$$$,"Brazilian, Steakhouses","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJWx4rUgx644kR5dVXnor_TsU,2026-03-28T21:26:09.053Z,false
3,Neptune Oyster,8.5,11504,4.2,6757,4.3,4747,$$$,"Seafood, Salad, Sandwiches","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJCe7kLY9w44kR55gvVv3g8zs,2026-03-28T21:26:09.053Z,false
4,Cheers,8.6,11064,3.5,1350,4.4,9714,$$,"American, Sports Bars","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJB939tp9w44kRQuO7SeU0ML4,2026-03-28T21:26:09.053Z,false
5,Regina Pizzeria,8.9,9979,4.1,2927,4.6,7052,$$,"Pizza, Italian","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJb4wUsI5w44kRnERe7ywQaJA,2026-03-28T21:26:09.053Z,false
6,The Friendly Toast,8.8,8908,4.3,3492,4.5,5416,$$,"Bars, Breakfast & Brunch, Diners","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJ8V9mMnN644kRpeZLuoShwNg,2026-03-28T21:26:09.053Z,false
7,Earls Kitchen + Bar,9.1,8874,3.9,1755,4.7,7119,$$,"New American, Cocktail Bars, Steakhouses","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJRzsVPRB644kRpWzEweKp4tk,2026-03-28T21:26:09.053Z,false
8,Boston Sail Loft,9.1,8167,4.4,2020,4.6,6147,$$,"Bars, American, Seafood","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJKz7ENohw44kR-Aq6LJoK9Sg,2026-03-28T21:26:09.053Z,false
9,Giacomo's Ristorante - Boston,8.4,7611,4.1,4447,4.3,3164,$$,"Italian, Wine Bars, Seafood","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJKRXowbtz44kRORvv6Mx_MDw,2026-03-28T21:26:09.053Z,false
10,Atlantic Fish,8.8,7464,4.2,3308,4.6,4156,$$$,"Seafood, Live/Raw Food, Cocktail Bars","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJ8XZQ9A5644kR-8i3134hx2I,2026-03-28T21:26:09.053Z,false
11,Yankee Lobster,8.7,7074,4.1,2502,4.5,4572,$$$,"Seafood Markets, Seafood, Sandwiches","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJbUFKb51644kR5AJ7c58g1JQ,2026-03-28T21:26:09.053Z,false
12,Carmelina's,9.1,7052,4.5,4320,4.6,2732,$$$,Italian,"Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJCTK0bYlw44kRZYlFMM9e3jg,2026-03-28T21:26:09.053Z,false
13,Saltie Girl,8.6,6602,4.2,2652,4.4,3950,$$$,"Seafood, Cocktail Bars","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJX531iwt644kRaJ9LqHM3rRk,2026-03-28T21:26:09.053Z,false
14,James Hook & Co,8.8,6486,4.2,1929,4.5,4557,$$$,"Seafood, Seafood Markets","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJO_bkQH5w44kRcep5YV5p5sA,2026-03-28T21:26:09.053Z,false
15,Lolita Cocina & Tequila Bar,8.5,6422,4.0,2734,4.4,3688,$$,"Mexican, Lounges, Cocktail Bars","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJ0VQFcQx644kR9HL-L98mUFY,2026-03-28T21:26:09.053Z,false
16,Row 34 - Seaport,8.9,6010,4.2,2038,4.6,3972,$$$,"New American, Seafood, Bars","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJ95EjMYB644kRHrS_JLt0-Lg,2026-03-28T21:26:09.053Z,false
17,Bostonia Public House,8.7,5995,4.2,2240,4.4,3755,$$$,"New American, Music Venues, Cocktail Bars","Boston, MA",https://www.google.com/maps/place/?q=place_id:ChIJFUWFZ4Zw44kR0RI3sWVFTnE,2026-03-28T21:26:09.053Z,false
