Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Montana Ale Works,9.1,5770,4.4,1610,4.6,4160,$$,"New American, Cocktail Bars, Wine Bars","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJmZ08n15ERVMRiOABez4-Xfk,2026-03-28T21:24:58.540Z,false
2,Sidewinders American Grill,8.7,3743,4.0,620,4.4,3123,$$,"Bars, American, Pizza","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJSwAWYohFRVMRuJBvld364JQ,2026-03-28T21:24:58.540Z,false
3,Jam!,9.3,3662,4.5,1223,4.7,2439,$$,"Breakfast & Brunch, Sandwiches, Salad","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJxcqRm1BERVMRLOVS00TNMAw,2026-03-28T21:24:58.540Z,false
4,Copper Whiskey Bar & Grill,9.2,3394,4.1,538,4.7,2856,$$$,"Steakhouses, Whiskey Bars","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJST_eFVpERVMRcv07ZaCtfLo,2026-03-28T21:24:58.540Z,false
5,Ted's Montana Grill,7.9,3118,3.3,664,4.1,2454,$$,"American, Steakhouses, Burgers","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJX10SklBERVMRmmADUcEnCJw,2026-03-28T21:24:58.540Z,false
6,Dave's Sushi,9.1,2796,4.2,514,4.6,2282,$$,"Sushi Bars, Japanese","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJO8mTqVtERVMRccXleOwbeVY,2026-03-28T21:24:58.540Z,false
7,Old Chicago Pizza + Taproom,7.8,2652,2.7,222,4.0,2430,$$,"Pizza, Sports Bars, American","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJP57JCQxFRVMRw3Ctq6U1Mgc,2026-03-28T21:24:58.540Z,false
8,Western Cafe,9.1,2643,4.3,420,4.6,2223,$$,Breakfast & Brunch,"Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJS6DQ_VtERVMRH4nUji81Kuo,2026-03-28T21:24:58.540Z,false
9,Roost Fried Chicken,8.6,2372,4.0,664,4.4,1708,$$,"Southern, Sandwiches, Chicken Wings","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJn1kb961FRVMRCKvLljtrSpg,2026-03-28T21:24:58.540Z,false
10,Backcountry Burger Bar,8.9,2193,4.2,480,4.5,1713,$$,"New American, Burgers","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJh81w7VBERVMRJjPt8qyBwtE,2026-03-28T21:24:58.540Z,false
11,Blackbird Kitchen,8.9,1826,4.3,823,4.6,1003,$$,"Italian, New American, Wine Bars","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJUXAfMFpERVMRbWAVnEO7pkk,2026-03-28T21:24:58.540Z,false
12,Revelry,9.1,1819,4.5,608,4.6,1211,$$,"Wine Bars, Beer Bar, New American","Bozeman, MT",https://www.google.com/maps/place/?q=place_id:ChIJb8oGpPtFRVMRE6VIrhaVytU,2026-03-28T21:24:58.540Z,false
