Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Pequod's Pizza,8.4,24959,3.9,8866,4.4,16093,$$,Pizza,"Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJQ6vcPuTSD4gRTbyKKQufF_o,2026-03-28T21:20:03.590Z,false
2,Au Cheval,9.1,21421,4.4,9477,4.7,11944,$$,"Bars, Burgers, American","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJ78NyRsUsDogR6AqyYoPrts4,2026-03-28T21:20:03.590Z,false
3,Girl & The Goat,9.1,18334,4.4,10658,4.7,7676,$$$,"New American, Bars, Bakeries","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJs8mbNsUsDogRUnpg-b_IK5E,2026-03-28T21:20:03.590Z,false
4,STK Steakhouse,9.2,17785,3.8,2026,4.7,15759,$$$$,"Steakhouses, New American, Cocktail Bars","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJ8bLW37EsDogRcTtDZ9w13U8,2026-03-28T21:20:03.590Z,false
5,The Purple Pig,8.9,16260,4.3,8964,4.6,7296,$$$,"Tapas/Small Plates, Mediterranean, New American","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJl8NTEawsDogRwXH-IVDyH2A,2026-03-28T21:20:03.590Z,false
6,Cafe Ba-Ba-Reeba!,9.1,13635,4.3,5147,4.7,8488,$$,"Spanish, Tapas Bars, Venues & Event Spaces","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJXxwm3BnTD4gR1Y9NlVH_RU8,2026-03-28T21:20:03.590Z,false
7,The Dearborn,9.3,11438,4.4,2727,4.7,8711,$$,"New American, Breakfast & Brunch, Beer, Wine & Spirits","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJ-XdXNKUsDogRW-m5g5Siao8,2026-03-28T21:20:03.590Z,false
8,Aba,9.5,11076,4.5,1946,4.8,9130,$$$,"Mediterranean, Tapas/Small Plates","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJHy_uxjQtDogREgbDgcjizn8,2026-03-28T21:20:03.590Z,false
9,Summer House Santa Monica,8.8,10094,3.9,3177,4.6,6917,$$$,"American, Desserts, Breakfast & Brunch","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJxYDpLhjTD4gRXbOM_K_279E,2026-03-28T21:20:03.590Z,false
10,The Gage,8.7,8697,4.2,3691,4.5,5006,$$,"New American, Cocktail Bars","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJ5a8ra6QsDogRENtJLAp40AE,2026-03-28T21:20:03.590Z,false
11,Mercadito,8.6,8365,3.7,2599,4.6,5766,$$$,"Mexican, Lounges, Cocktail Bars","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJ3waAcrEsDogRpVNpOKMTLz8,2026-03-28T21:20:03.590Z,false
12,Cindy's Rooftop,8.6,8206,4.1,2807,4.4,5399,$$,"New American, Seafood, Breakfast & Brunch","Chicago, IL",https://www.google.com/maps/place/?q=place_id:ChIJeYbaOKQsDogRfJrgIMgDNvE,2026-03-28T21:20:03.590Z,false
