Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Kitchen + Kocktails,9.2,20815,3.6,1741,4.7,19074,$$$,"Southern, Comfort Food","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJE-rQvPWZToYRe0HhJuoEHNo,2026-03-28T21:21:41.506Z,false
2,Terry Black's Barbecue,9.4,16682,4.6,4110,4.7,12572,$$,Barbeque,"Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJuQDvm1CZToYRi-7kkz-6I8U,2026-03-28T21:21:41.506Z,false
3,Pecan Lodge,8.8,15475,4.3,6980,4.5,8495,$$,"Sandwiches, Barbeque, Southern","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJGXYxd92YToYR7yV_BSMQ2Xk,2026-03-28T21:21:41.506Z,false
4,Rj Mexican Cuisine,9.4,12261,3.8,1029,4.8,11232,$$,"Mexican, Venues & Event Spaces","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJLdzo9T2ZToYRt2Nnta1x7fM,2026-03-28T21:21:41.506Z,false
5,Y.O. Ranch Steakhouse,9.5,11788,4.2,1278,4.8,10510,$$$,"Steakhouses, Seafood, Game Meat","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJ1xQiJxaZToYRnuQRys6KY_k,2026-03-28T21:21:41.506Z,false
6,Rodeo Goat,9.1,11623,4.4,3219,4.6,8404,$$,"Burgers, New American, Bars","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJ3aaOA06ZToYR8NFgiHe0pT4,2026-03-28T21:21:41.506Z,false
7,JOEY Dallas,9.8,10049,4.5,613,4.9,9436,$$$,"New American, Steakhouses, Lounges","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJCbPdwEKfToYR8JaHOW7Ym3A,2026-03-28T21:21:41.506Z,false
8,The Woolworth,9.5,9939,4.4,1739,4.8,8200,$$$,"Cocktail Bars, Tapas/Small Plates, New American","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJbU01oxiZToYR7SbEzKcmmrw,2026-03-28T21:21:41.506Z,false
9,Meso Maya Comida y Copas,9.0,9648,4.3,3234,4.6,6414,$$,"Mexican, New Mexican Cuisine, Cocktail Bars","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJMzOiejuZToYRWmNcwhwM1Dc,2026-03-28T21:21:41.506Z,false
10,The Ranch,9.0,9611,4.2,2406,4.6,7205,$$,"Steakhouses, New American","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJY4kYfykoTIYRldVtA2MsX0s,2026-03-28T21:21:41.506Z,false
11,Maple Leaf Diner,9.2,9283,4.5,4107,4.7,5176,$$,"American, Breakfast & Brunch, Diners","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJWxeJW-4gTIYRQlLX2mjITn4,2026-03-28T21:21:41.506Z,false
12,The Rustic,8.3,8382,3.8,2307,4.3,6075,$$,"New American, Bars, Music Venues","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJhcQOLdWeToYRURVCqH8zfys,2026-03-28T21:21:41.506Z,false
13,The Cheesecake Factory,8.1,8365,3.0,920,4.2,7445,$$,"American, Desserts","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJEUqdAb2fToYRJ3XQ93ZnoXE,2026-03-28T21:21:41.506Z,false
14,Kenny's Wood Fired Grill,9.3,8039,4.6,3871,4.7,4168,$$,"American, Seafood, Bars","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJCdq2QDohTIYRcmRn5noVeEY,2026-03-28T21:21:41.506Z,false
15,HG Sply,9.1,7179,4.2,2074,4.7,5105,$$,"American, Cocktail Bars","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJWxJey0mfToYRL8DsVYooNn0,2026-03-28T21:21:41.506Z,false
16,Mexican Sugar Las Colinas,9.1,6769,4.4,1501,4.6,5268,$$,"Latin American, Mexican","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJw3eQJaYpTIYRVx5AmCOP6cQ,2026-03-28T21:21:41.506Z,false
17,STK Steakhouse,8.8,6273,3.7,736,4.5,5537,$$$$,"Venues & Event Spaces, Steakhouses","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJJZGu-ZqZToYRfSZAvIFsp_o,2026-03-28T21:21:41.506Z,false
18,Pluckers Wing Bar - Greenville,8.2,6193,3.3,1332,4.3,4861,$$,"Chicken Wings, American, Sports Bars","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJX23aGp-fToYRfBJI7WnXBPo,2026-03-28T21:21:41.506Z,false
19,3Eleven Kitchen and Cocktails,9.4,6184,4.0,652,4.8,5532,$$,"Cocktail Bars, Seafood, Steakhouses","Dallas, TX",https://www.google.com/maps/place/?q=place_id:ChIJPVNJIhaZToYR8jBVOOqU9tA,2026-03-28T21:21:41.506Z,false
