Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Joe T Garcia's,8.1,15592,3.3,2881,4.2,12711,$$,"Mexican, Bars, Venues & Event Spaces","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ52v5bJ12ToYRFEgw3xlRPr0,2026-03-28T21:23:22.396Z,false
2,Ol' South Pancake House,8.4,11983,3.6,1492,4.3,10491,$$,"Breakfast & Brunch, Coffee & Tea, American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJZbiw8NJzToYRTRQt4eVvYfI,2026-03-28T21:23:22.396Z,false
3,Rodeo Goat,9.0,8148,4.2,2242,4.6,5906,$$,"Bars, Burgers, New American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJcx25xt1zToYRTb5aah1CK8I,2026-03-28T21:23:22.396Z,false
4,Pappadeaux Seafood Kitchen,8.9,7835,3.8,642,4.5,7193,$$$,"Seafood, Cajun/Creole, Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJM1AIF9FzToYRjWLDRQ81LO0,2026-03-28T21:23:22.396Z,false
5,Velvet Taco,9.1,7722,4.3,1446,4.6,6276,$$,"New American, Tacos, Vegetarian","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJHdXOj-BzToYRXd04cm2Qa9Q,2026-03-28T21:23:22.396Z,false
6,Texas de Brazil,8.9,6284,3.8,623,4.5,5661,$$$,"Brazilian, Steakhouses, Venues & Event Spaces","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJvUjeN0FxToYRKqEjzpGbfSE,2026-03-28T21:23:22.396Z,false
7,Los Molcajetes,8.9,6168,4.2,948,4.5,5220,$$,Mexican,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJH9NUWNl3ToYRNQV9sHUgE5k,2026-03-28T21:23:22.396Z,false
8,The Cheesecake Factory,7.9,6139,2.7,635,4.1,5504,$$,"Desserts, New American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJo-C_hkBxToYRo2dLzwpSsGQ,2026-03-28T21:23:22.396Z,false
9,Hg Sply,9.2,5927,4.1,764,4.7,5163,$$,"New American, Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJSyaJKi1yToYRyJexX3gv-xI,2026-03-28T21:23:22.396Z,false
10,Torchy's Tacos,8.6,5494,3.8,854,4.4,4640,$,"Tex-Mex, Tacos","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJXde-8X1xToYRlnabQboxhqE,2026-03-28T21:23:22.396Z,false
11,Woodshed Smokehouse,7.8,5203,3.4,1402,4.1,3801,$$,"Smokehouse, Barbeque, Breakfast & Brunch","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJY9xSfDJyToYRnGUIl9RoaL4,2026-03-28T21:23:22.396Z,false
12,H3 Ranch,8.4,5013,3.8,1116,4.3,3897,$$$,"Steakhouses, Barbeque","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJmd303qZ2ToYRqCgyY9xysxQ,2026-03-28T21:23:22.396Z,false
13,Saltgrass Steak House,8.5,4708,3.4,361,4.3,4347,$$,"Steakhouses, Seafood, American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJZ0Xn4IBtToYRFpNYs_up4Y8,2026-03-28T21:23:22.396Z,false
14,Razzoo's Cajun Cafe,8.4,4694,3.5,534,4.3,4160,$$,"Cajun/Creole, Seafood, American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJX31O8UBxToYRRYE2Shxxx0o,2026-03-28T21:23:22.396Z,false
15,Reata,8.7,4686,4.0,1357,4.5,3329,$$$,"New American, Steakhouses, Cocktail Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ5fAa_kBxToYR-zNdiXJjQEA,2026-03-28T21:23:22.396Z,false
16,Boo Ray's of New Orleans,8.6,4657,3.9,741,4.4,3916,$$,"Cajun/Creole, Seafood, Sandwiches","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ0xFidkd1ToYRF-5JSrr5V90,2026-03-28T21:23:22.396Z,false
17,Cattlemen's Fort Worth Steak House,8.1,4547,3.4,834,4.2,3713,$$$,Steakhouses,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ478H16Z2ToYRZzue0VFaAJY,2026-03-28T21:23:22.396Z,false
18,Spiral Diner & Bakery,8.9,4528,4.2,1083,4.5,3445,$$,"Bakeries, Vegan, Diners","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJe3WQkXdxToYRbiaGilR6xkU,2026-03-28T21:23:22.396Z,false
19,Cooper's Old Time Pit Bar-B-Que,8.1,4239,3.5,797,4.2,3442,$$,Barbeque,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJJ7azGqF2ToYRVjZK8N74hps,2026-03-28T21:23:22.396Z,false
20,Cane Rosso,8.8,4147,4.1,1004,4.5,3143,$$,"Pizza, Italian, Breakfast & Brunch","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJKW01mXVxToYRH3kzgP4CFKE,2026-03-28T21:23:22.396Z,false
21,Blue Sushi Sake Grill,8.8,4129,4.2,1284,4.5,2845,$$,"Sushi Bars, Japanese, Cocktail Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJTdO25udzToYR8PSJE3jDSGE,2026-03-28T21:23:22.396Z,false
22,Jakes Burgers and Beer,8.6,4025,4.0,778,4.4,3247,$$,"Burgers, Breakfast & Brunch, Beer Bar","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJyT2Sb0BxToYRrj4WoNHEik4,2026-03-28T21:23:22.396Z,false
23,Gus's World Famous Fried Chicken,8.8,3922,4.3,936,4.4,2986,$$,"Southern, Chicken Shop, Comfort Food","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJb9zoFHZxToYRZLyRT2vvLBM,2026-03-28T21:23:22.396Z,false
24,Flying Saucer Draught Emporium,8.7,3919,3.8,737,4.5,3182,$$,"Pubs, Beer Bar, New American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJddUdiEBxToYRNOui_GGA12Y,2026-03-28T21:23:22.396Z,false
25,Railhead Smokehouse,8.4,3911,3.6,626,4.3,3285,$$,"Barbeque, Sandwiches, Smokehouse","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJc1ofyctzToYRQTc9KhGpQh8,2026-03-28T21:23:22.396Z,false
26,Riscky's BBQ,7.7,3875,3.0,847,4.1,3028,$$,"Barbeque, Steakhouses, Burgers","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJn6au6EBxToYR_2Fzi6olIp0,2026-03-28T21:23:22.396Z,false
27,"Snooze, an A.M. Eatery",8.5,3713,4.2,1338,4.3,2375,$$,"Breakfast & Brunch, American, Cocktail Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJr0BuVG1xToYRdfcrLVpjErQ,2026-03-28T21:23:22.396Z,false
28,Yolk - Sundance Square,8.3,3665,4.0,1710,4.3,1955,$$,"Breakfast & Brunch, American, Coffee & Tea","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ4xpG60BxToYR1DQgxsgZBgU,2026-03-28T21:23:22.396Z,false
29,Madea's Down Home Cooking,9.0,3663,4.4,570,4.5,3093,$$,Soul Food,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJheuP5A9vToYRwDjd_pQ4r3I,2026-03-28T21:23:22.396Z,false
30,Riscky's Steakhouse,8.1,3350,3.4,576,4.2,2774,$$$,Steakhouses,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJZTLL56Z2ToYRnL-TwzutShg,2026-03-28T21:23:22.396Z,false
31,Quince Riverside,9.4,3240,4.0,323,4.8,2917,$$$,"Desserts, Sushi Bars, Wine Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJuQ6T5qhzToYRI0qt00wG0i0,2026-03-28T21:23:22.396Z,false
32,Press Café,8.5,3218,3.8,902,4.4,2316,$$,"Cafes, Breakfast & Brunch, American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJLc8hYl9yToYRVu-fTwrPW_g,2026-03-28T21:23:22.396Z,false
33,Charleston's,9.1,3087,4.3,633,4.6,2454,$$,"American, Steakhouses","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJGZvQS1xyToYRruioQ36jItE,2026-03-28T21:23:22.396Z,false
34,Panther City BBQ,8.9,3030,4.3,652,4.5,2378,$$,"Caterers, Barbeque","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ__8bKwxxToYRSxnZrtzVbNg,2026-03-28T21:23:22.396Z,false
35,Terry Black’s Barbecue,9.4,2991,4.6,533,4.7,2458,$$,Barbeque,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ2bmfagBzToYRLFtDvJiFZlw,2026-03-28T21:23:22.396Z,false
36,Del Frisco's Double Eagle Steakhouse,8.6,2946,3.9,658,4.4,2288,$$$$,"Steakhouses, Seafood, Cocktail Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJB7zp_T9xToYRk300Mf6Swz4,2026-03-28T21:23:22.396Z,false
37,Little Red Wasp,8.3,2939,4.0,1006,4.2,1933,$$,"Burgers, Sandwiches, Breakfast & Brunch","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ5_qX_j9xToYRt3XFIr5iwcg,2026-03-28T21:23:22.396Z,false
38,Wabi House - Fort Worth,8.9,2909,4.3,873,4.5,2036,$$,Ramen,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJyZXkoWxxToYReszP4qKKnQo,2026-03-28T21:23:22.396Z,false
39,Game Theory Restaurant + Bar,9.3,2883,4.4,543,4.7,2340,$$,"Gastropubs, Breakfast & Brunch, New American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJK0MbpPdxToYRQEN3L_4tJRI,2026-03-28T21:23:22.396Z,false
40,Lucile’s,8.5,2861,3.6,562,4.4,2299,$$,"American, Breakfast & Brunch, Seafood","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJwcJzZqZzToYRBdUbSXobSLY,2026-03-28T21:23:22.396Z,false
41,Hanabi Ramen & Izakaya - Fort Worth,8.8,2773,4.0,631,4.5,2142,$$,Ramen,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ_RiHEOhzToYR8Tdu6rPyQlE,2026-03-28T21:23:22.396Z,false
42,Del Frisco's Grille,8.0,2732,3.5,709,4.2,2023,$$$,"Burgers, New American, Gluten-Free","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJF2IljEBxToYRLR2WX3c6OM4,2026-03-28T21:23:22.396Z,false
43,The Capital Grille,9.5,2599,4.6,689,4.8,1910,$$$,"Seafood, Steakhouses, Wine Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJr77n-D9xToYRt8GiMDndjys,2026-03-28T21:23:22.396Z,false
44,Sikhay Thai Lao Cuisine,9.4,2595,4.7,678,4.7,1917,$$,"Thai, Bubble Tea, Laotian","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJNRslGSN3ToYR2fveaX29ALQ,2026-03-28T21:23:22.396Z,false
45,Doc B's Restaurant,9.3,2558,4.3,452,4.7,2106,$$,"New American, Bars, Salad","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ3dpTq_ZyToYRczggvg4Wi-w,2026-03-28T21:23:22.396Z,false
46,From Across the Pond,8.4,2528,4.0,760,4.3,1768,$$,"British, Sports Bars, Sandwiches","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJn5olOlF_ToYRvyUxISOEShw,2026-03-28T21:23:22.396Z,false
47,Rosako's Restaurant,8.3,2496,4.1,640,4.2,1856,$$,"Soul Food, Barbeque","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJE5F6eEB_ToYR_yarIf0y20s,2026-03-28T21:23:22.396Z,false
48,The Social House,8.3,2489,3.5,540,4.3,1949,$$,"New American, Breakfast & Brunch, Wine Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ11HjXedzToYR_BDKDowWFT0,2026-03-28T21:23:22.396Z,false
49,Coco Shrimp - Bryan Ave,9.6,2480,4.7,589,4.8,1891,$$,"Hawaiian, Seafood, Tacos","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJRZMLFDFxToYRMlTzCd8vtHQ,2026-03-28T21:23:22.396Z,false
50,Fazenda Gaúcha Brazilian Steakhouse,9.3,2421,4.6,667,4.7,1754,$$$,"Steakhouses, Brazilian","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJVVUJdd5-ToYRdGErPi-6ElY,2026-03-28T21:23:22.396Z,false
51,Hatsuyuki Handroll Bar,9.5,2209,4.7,961,4.8,1248,$$,Sushi Bars,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJNwequSBzToYR59cSYCHRBNY,2026-03-28T21:23:22.396Z,false
52,Fixe Southern House,8.8,2129,4.2,616,4.5,1513,$$,"Southern, Breakfast & Brunch, Desserts","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJyRQuNPFyToYRsUBS2Cmnw54,2026-03-28T21:23:22.396Z,false
53,The Lonesome Dove Western Bistro,8.7,2126,4.1,696,4.5,1430,$$$,New American,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJk0u7Had2ToYRDC_c38Q-edc,2026-03-28T21:23:22.396Z,false
54,The Bearded Lady,8.0,2024,3.7,735,4.2,1289,$$,"Burgers, Beer Bar, Sandwiches","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ3aMrXZBxToYRS9R2DWLia-8,2026-03-28T21:23:22.396Z,false
55,Firebirds Wood Fired Grill,8.5,1994,3.9,362,4.3,1632,$$,"American, Seafood, Steakhouses","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJv5tvbWjZTYYRNQEjvw8JxK8,2026-03-28T21:23:22.396Z,false
56,rise soufflé - Fort Worth,9.2,1971,4.5,811,4.7,1160,$$,"French, Desserts, Wine Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJYynVyfZyToYRIxz-mLr2sHw,2026-03-28T21:23:22.396Z,false
57,Tricky Fish,9.0,1914,4.5,600,4.5,1314,$$,"Seafood, Cocktail Bars, Breakfast & Brunch","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ0-m1Kc1zToYRR9MIfT2q_Ec,2026-03-28T21:23:22.396Z,false
58,Hudson House,9.4,1826,3.8,183,4.8,1643,$$$,"Bars, Seafood, American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJjwb_H-BzToYRqY6INOYelJ8,2026-03-28T21:23:22.396Z,false
59,The Rim Waterside,8.6,1687,4.0,342,4.4,1345,$$,"Wine Bars, Seafood, Pizza","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ7z-q23RzToYRrjtkAZBt80A,2026-03-28T21:23:22.396Z,false
60,Wicked Butcher Fort Worth,8.6,1615,4.1,510,4.4,1105,$$$,"Bars, Steakhouses, New American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJaaySYG5xToYRyu9eAMvejoo,2026-03-28T21:23:22.396Z,false
61,Pacific Table,8.5,1580,3.9,616,4.5,964,$$$,"Sushi Bars, Seafood, Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJyxKFQ81zToYRd51GgjAciN8,2026-03-28T21:23:22.396Z,false
62,Tavern,8.6,1474,4.1,587,4.4,887,$$,New American,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJZ4pgEVtyToYRgjq70-qGMwY,2026-03-28T21:23:22.396Z,false
63,GRACE,8.9,1474,4.2,532,4.6,942,$$$,New American,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJcaoN9D9xToYRBUTpw92LhUI,2026-03-28T21:23:22.396Z,false
64,Towne Grill,9.0,1418,4.4,307,4.5,1111,$$,"New American, Seafood, Pizza","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJaXzMsMXZTYYRXpskSdQCgSY,2026-03-28T21:23:22.396Z,false
65,Maggie's RnR,9.0,1297,,,4.5,1297,,American Restaurant,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ2yJYkYZxToYRRPiq_VPt4XQ,2026-03-28T21:23:22.396Z,false
66,Don Artemio Restaurant,9.3,1264,4.5,293,4.7,971,$$$,Mexican,"Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJNQ8ebcBzToYRTHnBeeLXtIo,2026-03-28T21:23:22.396Z,false
67,HG Sply Co. - Alliance,9.5,1241,4.2,100,4.8,1141,$$,"Breakfast & Brunch, Cocktail Bars, American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJXSx_gHbZTYYRgS9Ba_IF24M,2026-03-28T21:23:22.396Z,false
68,Waters Restaurant,9.1,1196,4.4,332,4.6,864,$$$,"Seafood, Wine Bars, Cocktail Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJdUDS7kBxToYRQddthqvSmmo,2026-03-28T21:23:22.396Z,false
69,97 West Kitchen & Bar,8.4,1103,3.9,271,4.3,832,$$$,"Cocktail Bars, Southern, American","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ7cvIRkV3ToYRQ5gBuESvtSg,2026-03-28T21:23:22.396Z,false
70,Ático Fort Worth,8.6,970,3.9,210,4.4,760,$$,"Tapas Bars, Spanish, Tapas/Small Plates","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJF5zWNaF3ToYRYBModk4zKoA,2026-03-28T21:23:22.396Z,false
71,Le Margot,9.0,720,4.2,208,4.6,512,$$$,"French, Sandwiches, Salad","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJIXLwDjJzToYRo4Coe7ogWXw,2026-03-28T21:23:22.396Z,false
72,branch & bird,8.3,717,3.8,187,4.3,530,$$,"Cocktail Bars, New American, Wine Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJMzK7JUtxToYR00VZQoGeFIQ,2026-03-28T21:23:22.396Z,false
73,Wishbone & Flynt,8.4,630,4.0,225,4.3,405,$$,"Cocktail Bars, New American, Breakfast & Brunch","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJD2gd-g1xToYR0d-a9k4si4Q,2026-03-28T21:23:22.396Z,false
74,Little Tavern,9.2,440,4.5,10,4.6,430,$$,"Breakfast & Brunch, Sandwiches, Salad","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJI_-cfL5zToYRKIydBYj7NA4,2026-03-28T21:23:22.396Z,false
75,Plank Provisions,8.9,438,4.3,156,4.5,282,$$$,"Seafood, Bars, Sushi Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJC4gDlntzToYRTJixBRLhTVY,2026-03-28T21:23:22.396Z,false
76,Bricks and Horses,9.1,269,4.5,85,4.6,184,,"Breakfast & Brunch, Cocktail Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJd2BNFUlzToYRjxiYgPcYWIg,2026-03-28T21:23:22.396Z,false
77,Fort Redemption,9.3,242,4.6,91,4.7,151,,"Breakfast & Brunch, Steakhouses, Desserts","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ8eRfT9pzToYRqkeFuPt7H70,2026-03-28T21:23:22.396Z,false
78,Emilia's Fort Worth,8.4,189,4.0,54,4.3,135,,"Mediterranean, Seafood, Italian","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJ799JKoFzToYRqZQ5QkhPwZA,2026-03-28T21:23:22.396Z,false
79,Fifth & Commerce,9.4,134,3.5,11,4.8,123,,"Burgers, Cocktail Bars","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJoWTJdxdxToYRJWBRDqBvZKU,2026-03-28T21:23:22.396Z,false
80,Brooklyn's,9.6,116,4.5,22,4.9,94,,"American, Asian Fusion, Italian","Fort Worth, TX",https://www.google.com/maps/place/?q=place_id:ChIJzRj_6xNxToYRFLBbcrHpnkY,2026-03-28T21:23:22.396Z,false
