Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Duke's Waikiki,8.5,28985,4.0,10508,4.4,18477,$$,"Hawaiian, Seafood, Cocktail Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJy0PC1XVyAHwR8cngoeHh_v8,2026-03-30T03:01:47Z,false
2,Marugame Udon,9.0,26816,4.5,14043,4.5,12773,$$,"Japanese, Noodles, Soup","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJrRngH3ZyAHwRiIlE2K7Fhe4,2026-03-30T03:01:47Z,false
3,Tikis Grill & Bar,8.8,17070,4.1,6198,4.6,10872,$$,"Seafood, Hawaiian, Cocktail Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJpeekwXByAHwRmkqRkpULgRM,2026-03-30T03:01:47Z,false
4,Rainbow Drive-In,8.2,13901,3.8,6034,4.3,7867,$$,"Hawaiian, Fast Food, Breakfast & Brunch","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJSanEMX9yAHwRYb7nn-OlbbU,2026-03-30T03:01:47Z,false
5,Nico's Pier 38,8.4,13263,3.9,4794,4.4,8469,$$,"Seafood, American, Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJV6TLr0VuAHwR4VCm9dS2f90,2026-03-30T03:01:47Z,false
6,The Cheesecake Factory,8.3,11708,3.6,2760,4.3,8948,$$$,"Desserts, American","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJpUw6wnVyAHwRUYU-wF5il_M,2026-03-30T03:01:47Z,false
7,Restaurant 604,8.6,9766,4.2,3991,4.4,5775,$$,"Breakfast & Brunch, New American, Hawaiian","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJe37AT0RvAHwR4Mq49gVPj-g,2026-03-30T03:01:47Z,false
8,Hula Grill Waikiki,8.5,9569,4.1,4445,4.4,5124,$$,"Hawaiian, Seafood, Breakfast & Brunch","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJy0PC1XVyAHwRiEVSNmZ9_Qs,2026-03-30T03:01:47Z,false
9,Lulu's Waikiki,8.3,9162,3.8,3052,4.3,6110,$$,"Burgers, Chicken Wings, Cocktail Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJ0zgno3ByAHwRTctl9GVdzCE,2026-03-30T03:01:47Z,false
10,Liliha Bakery,8.9,8770,4.3,4115,4.6,4655,$$,"Bakeries, Breakfast & Brunch, Diners","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJQ9anT39uAHwR3nYOPjeqsF8,2026-03-30T03:01:47Z,false
11,Helena's Hawaiian Food,8.9,8037,4.4,4481,4.5,3556,$$,Hawaiian,"Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJ-aNpcIduAHwRlVpxYVxnvxs,2026-03-30T03:01:47Z,false
12,Goofy Cafe & Dine,8.6,7905,4.1,3876,4.5,4029,$$,"Cafes, Breakfast & Brunch, Diners","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJAQ3hUfRtAHwRTrWtSbAh1E0,2026-03-30T03:01:47Z,false
13,Island Vintage Coffee,8.7,7620,4.3,4093,4.4,3527,$$,"Coffee & Tea, Breakfast & Brunch, Hawaiian","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJj6h52FZzAHwRV864YY0Y1Vw,2026-03-30T03:01:47Z,false
14,Eggs 'n Things,7.9,7350,3.7,2414,4.1,4936,$$,"Breakfast & Brunch, American, Hawaiian","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJ9Wgk33ZyAHwRRyc0nsAGw7s,2026-03-30T03:01:47Z,false
15,Ono Seafood,9.1,7299,4.5,4583,4.6,2716,$$,"Seafood, Poke","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJhwWzIYFtAHwRr8-YL4Qqbag,2026-03-30T03:01:47Z,false
16,Paia Fish Market Waikiki,9.0,7036,4.4,2852,4.6,4184,$$,"Seafood, New American, Fish & Chips","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJ8WLr0MBzAHwRVWfHLE9A4F4,2026-03-30T03:01:47Z,false
17,Deck.,8.6,6912,4.1,2732,4.4,4180,$$,"Hawaiian, Cocktail Bars, Seafood","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJq2YK2wxzAHwRjqwRHpz1zv0,2026-03-30T03:01:47Z,false
18,Musubi Cafe Iyasume,9.0,6851,4.5,5398,4.5,1453,$,"Japanese, Hawaiian, Fast Food","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJjxTZ05xzAHwR2yUxpXUdnko,2026-03-30T03:01:47Z,false
19,YogurStory,8.2,6676,4.0,4709,4.4,1967,$$,"Pancakes, Waffles, Hawaiian","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJU6vX7e5tAHwRfoWIBGW15pE,2026-03-30T03:01:47Z,false
20,Liliha Bakery,8.4,6593,3.7,2355,4.5,4238,$$,"Bakeries, Breakfast & Brunch, Sandwiches","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJH4qe5G1uAHwRrV5VH_h6S6Q,2026-03-30T03:01:47Z,false
21,Heavenly Island Lifestyle - Waikiki,8.6,6413,4.2,2909,4.4,3504,$$,"Breakfast & Brunch, Hawaiian, Cocktail Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJ__2UB4ptAHwRGgj56TYrvlg,2026-03-30T03:01:47Z,false
22,Ginza Bairin Tonkatsu & Yoshoku Bistro,8.6,6180,4.3,4135,4.3,2045,$$$,"Japanese, Diners, Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJKUAAneNzAHwRzsl6wWM2x9k,2026-03-30T03:01:47Z,false
23,Gen Korean BBQ House,8.3,5984,4.2,4178,4.1,1806,$$,"Korean, Barbeque, Asian Fusion","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJNYNLUfBtAHwRE7PbvfeY0GQ,2026-03-30T03:01:47Z,false
24,Roy's Waikiki,8.8,5895,4.3,3608,4.5,2287,$$$$,"Hawaiian, Asian Fusion, Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJx9yme3VyAHwRvSmxR96Ys3U,2026-03-30T03:01:47Z,false
25,Moku Kitchen,8.4,5841,4.0,2586,4.4,3255,$$,"Cocktail Bars, New American, Gastropubs","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJO5od3QhuAHwRO8VzXmIKuQk,2026-03-30T03:01:47Z,false
26,Tommy Bahama Restaurant | Bar | Store - Waikiki,9.0,5095,4.4,2156,4.6,2939,$$$,"New American, Seafood, Cocktail Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJ60dbjoptAHwRsfyIkuoSiq4,2026-03-30T03:01:47Z,false
27,Aloha Kitchen,8.7,4835,4.2,2525,4.5,2310,$$,Breakfast & Brunch,"Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJ9yrjmvRtAHwRW9WGCE8ueuc,2026-03-30T03:01:47Z,false
28,Ramen Nakamura,7.8,4757,3.8,2554,4.0,2203,$$,"Ramen, Noodles","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJXV4pjIptAHwR2roQPIo_CcA,2026-03-30T03:01:47Z,false
29,Highway Inn Kaka'ako,8.7,4653,4.1,1966,4.5,2687,$$,"Hawaiian, Breakfast & Brunch, Poke","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJtTkIwghuAHwRUgZh90UZaTU,2026-03-30T03:01:47Z,false
30,Shabuya,8.8,4321,4.4,3033,4.4,1288,$$,"Hot Pot, Japanese, Korean","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJU3SH4KxtAHwRLk75ndS0LMQ,2026-03-30T03:01:47Z,false
31,Earls Kitchen + Bar - Waikiki,9.7,4221,4.1,305,4.9,3916,$$$,"Cocktail Bars, Seafood, Asian Fusion","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJrxFhzvxzAHwRyGgNOLE7eC8,2026-03-30T03:01:47Z,false
32,House Without A Key,8.6,4136,4.1,1566,4.4,2570,$$$,"Seafood, Breakfast & Brunch, Cocktail Bars","Honolulu, HI",https://www.google.com/maps/place/?q=place_id:ChIJJVGzGXVyAHwRNEf8WeLIEw8,2026-03-30T03:01:47Z,false
