Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Downtown Aquarium,8.1,25857,2.8,1125,4.1,24732,$$,"Seafood, Aquariums, Venues & Event Spaces","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJq-4v1za_QIYR3gBH_XWpKxo,2026-03-28T21:22:11.827Z,false
2,Lost & Found,9.5,18302,3.8,1036,4.8,17266,$$,"Cocktail Bars, Hookah Bars, Comfort Food","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ2-wQSJe_QIYREbxcKabmW9Q,2026-03-28T21:22:11.827Z,false
3,The Breakfast Klub,9.2,16483,4.5,6563,4.7,9920,$$,"Breakfast & Brunch, Southern, American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ_0MiMm6_QIYRr7XETdEk5ZE,2026-03-28T21:22:11.827Z,false
4,Taste of Texas,9.3,15727,4.6,5136,4.7,10591,$$$,"Steakhouses, Wine Bars, Diners","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJz0peBLTEQIYReNQTuVx4EUM,2026-03-28T21:22:11.827Z,false
5,JOEY Uptown,9.5,12427,4.4,1647,4.8,10780,,"New American, Steakhouses, Bars","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ48I5hnvBQIYRNdjz219pjUI,2026-03-28T21:22:11.827Z,false
6,Aquarium Restaurant,9.0,11722,2.8,1125,4.7,10597,$$,"Seafood, Aquariums, Venues & Event Spaces","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ1_fBKTG_QIYRWdRY0QE5LH0,2026-03-28T21:22:11.827Z,false
7,The Pit Room,8.9,10873,4.3,3378,4.5,7495,$$,"Barbeque, Southern","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJgcrcf4LAQIYREwyikgKgLco,2026-03-28T21:22:11.827Z,false
8,The Original Ninfa's on Navigation,8.6,10689,3.9,2239,4.4,8450,$$,"Mexican, Tex-Mex","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJeejHW9u-QIYR2xQC_Nj9vi8,2026-03-28T21:22:11.827Z,false
9,Frank's Pizza,9.0,7993,4.0,1151,4.6,6842,$,Pizza,"Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJp5v6VCW_QIYRsBulbXJDew8,2026-03-28T21:22:11.827Z,false
10,Taste Bar + Kitchen,8.6,7861,3.7,1252,4.4,6609,$$,"Cocktail Bars, Comfort Food, Waffles","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJoTFCUCW_QIYRfKu4b1hWplQ,2026-03-28T21:22:11.827Z,false
11,The Rustic,8.4,7444,3.9,1676,4.3,5768,$$,"Bars, Music Venues, New American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJI9sq1-u_QIYRCqNIcZPjXMw,2026-03-28T21:22:11.827Z,false
12,Grace's,8.9,7371,4.2,1584,4.5,5787,$$$,"American, Breakfast & Brunch, Comfort Food","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJcSuSku3AQIYRfF98hYAS130,2026-03-28T21:22:11.827Z,false
13,Pinkerton's Barbecue,9.1,7206,4.4,1785,4.6,5421,$$,Barbeque,"Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJr99VD5e4QIYRLKVqURMIyV0,2026-03-28T21:22:11.827Z,false
14,La Calle Tacos,8.7,6777,4.0,1256,4.4,5521,$$,"Tacos, Latin American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJVWAXuy-_QIYRTxR8rlMY4D4,2026-03-28T21:22:11.827Z,false
15,Trill Burgers,8.7,6718,4.0,858,4.4,5860,$$,Burgers,"Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJp-bfo3jBQIYRzO0kJ91hndU,2026-03-28T21:22:11.827Z,false
16,Lucille's,8.3,6595,3.9,2092,4.3,4503,$$,"New American, Southern","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ27ZI74K_QIYR2oq-RoRRW_0,2026-03-28T21:22:11.827Z,false
17,Steak 48,9.1,6374,4.4,2011,4.6,4363,$$$$,"Steakhouses, Seafood, Wine Bars","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJBx-DjBTBQIYRg-AGJi1o8ac,2026-03-28T21:22:11.827Z,false
18,The Cheesecake Factory,7.6,6201,2.5,822,4.0,5379,$$,"Desserts, American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJJZXU7bzEQIYRFpp-ze8zbZE,2026-03-28T21:22:11.827Z,false
19,The Cheesecake Factory,8.0,6152,2.9,928,4.2,5224,$$,"Desserts, American, Tapas/Small Plates","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJe0YosG7BQIYR7Vsu4SGfH5k,2026-03-28T21:22:11.827Z,false
20,Uchi Houston,9.1,5513,4.4,2617,4.7,2896,$$$,"Sushi Bars, Japanese","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJq6qqqma_QIYRxrKS6EACh7o,2026-03-28T21:22:11.827Z,false
21,La Fisheria,9.4,5472,4.2,822,4.8,4650,$$$,"Seafood, Mexican","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJjfnzbEzHQIYRa3zh8igbVQw,2026-03-28T21:22:11.827Z,false
22,Xochi,9.1,5372,4.3,1299,4.6,4073,$$$,"Mexican, Breakfast & Brunch, Bars","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJsT1r2yO_QIYRdz286CS4Kt0,2026-03-28T21:22:11.827Z,false
23,Truth BBQ,8.9,5276,4.4,1384,4.5,3892,$$,"Barbeque, Southern","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJUfA6wszBQIYRmrSeublM3zY,2026-03-28T21:22:11.827Z,false
24,Gus's World Famous Fried Chicken,8.9,5254,4.3,1349,4.5,3905,$$,"Southern, Chicken Shop, Comfort Food","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJhaXJxEu_QIYRJTyc91EMOlo,2026-03-28T21:22:11.827Z,false
25,Flying Saucer Draught Emporium,8.8,5200,4.0,830,4.5,4370,$$,"New American, Pubs, Beer Bar","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJnZ2b0Dq_QIYRD_Cn_lhWq8c,2026-03-28T21:22:11.827Z,false
26,Traveler's Table,9.0,5153,4.4,2369,4.6,2784,$$$,"Tapas/Small Plates, New American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJScX7w-W_QIYRnJUZzJInHrg,2026-03-28T21:22:11.827Z,false
27,Vic & Anthony's Steakhouse,8.9,5101,4.1,1386,4.6,3715,$$$$,"Steakhouses, New American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ7zHRFyS_QIYRpBj5GnuFAno,2026-03-28T21:22:11.827Z,false
28,Caracol,9.0,4946,4.2,1495,4.6,3451,$$$,"Seafood, Mexican, Breakfast & Brunch","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJia_uLmrBQIYRTh9IbLUgNRQ,2026-03-28T21:22:11.827Z,false
29,Musaafer,9.1,4921,4.3,998,4.6,3923,,"Indian, Halal, Cocktail Bars","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJk3AANG_BQIYRslF9Sn9-03U,2026-03-28T21:22:11.827Z,false
30,Rodeo Goat,9.1,4836,4.4,1238,4.6,3598,$$,"Burgers, Bars, New American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJzepHYR-_QIYRWT-jHa_0iPg,2026-03-28T21:22:11.827Z,false
31,Hearsay Market Square,8.4,4451,4.0,2217,4.4,2234,$$,"Lounges, Cocktail Bars, American","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ325pwi-_QIYRtB5lEbq1nCI,2026-03-28T21:22:11.827Z,false
32,Brennan's Houston,8.9,4445,4.1,1185,4.6,3260,$$$,"Cajun/Creole, Southern, Seafood","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJh1u1L2-_QIYRS8CnhxGTg9A,2026-03-28T21:22:11.827Z,false
33,Moon Tower,9.0,4325,4.0,898,4.6,3427,$$,"Dive Bars, Hot Dogs, Beer Gardens","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJibOgL8O-QIYRf_jeTuo2DlM,2026-03-28T21:22:11.827Z,false
34,Barnaby's Cafe,9.0,4293,4.1,867,4.6,3426,$$,"American, Breakfast & Brunch","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJ6ZequJy_QIYRHPFYksGGOYY,2026-03-28T21:22:11.827Z,false
35,Hillstone,8.1,4271,3.4,1132,4.3,3139,$$$,"Salad, Burgers, Sandwiches","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJq13iF_TAQIYR93rF2J-02XI,2026-03-28T21:22:11.827Z,false
36,Black Walnut,8.5,4248,3.7,932,4.4,3316,$$,"New American, Breakfast & Brunch, Cafes","Houston, TX",https://www.google.com/maps/place/?q=place_id:ChIJSao_gl3AQIYRY1yXyNZ-BkY,2026-03-28T21:22:11.827Z,false
