Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Caesars Palace,8.9,141574,2.8,5152,4.5,136422,$$$,Hotels,"Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJleDKRDzEyIAR9z-vovLIyXc,2026-03-28T21:26:42.124Z,false
2,Mon Ami Gabi,9.1,42333,4.2,13023,4.7,29310,$$$,"French, Steakhouses, Breakfast & Brunch","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJ3WIuWzfEyIAR3Cng9xOjScI,2026-03-28T21:26:42.124Z,false
3,Gordon Ramsay Hell's Kitchen,8.8,33824,4.4,13889,4.4,19935,$$$$,"New American, Seafood","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJj_wiEzvEyIARS5qTRmnig3Y,2026-03-28T21:26:42.124Z,false
4,Bacchanal Buffet,7.8,31223,3.9,16996,3.9,14227,$$$$,Buffets,"Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJvd3IWSPEyIARGJvpSzaMF3k,2026-03-28T21:26:42.124Z,false
5,The Peppermill Restaurant & Fireside Lounge,8.8,25679,4.0,6041,4.5,19638,$$,"American, Breakfast & Brunch, Lounges","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJo2QZEG3EyIARuHyQ4XC29RY,2026-03-28T21:26:42.124Z,false
6,Tacos El Gordo,8.4,23897,4.0,6822,4.3,17075,$,Tacos,"Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJuZ22zmzEyIARH1U2pl31Nes,2026-03-28T21:26:42.124Z,false
7,The Buffet at Wynn Las Vegas,8.0,19474,3.7,7172,4.2,12302,$$$$,"Buffets, Breakfast & Brunch","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJS0B4ZMzCyIARhffosGsUFJk,2026-03-28T21:26:42.124Z,false
8,Yardbird,9.0,13777,4.5,8398,4.5,5379,$$,"Southern, New American, Cocktail Bars","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJV1EuXj7EyIARzPNHkMZVXhs,2026-03-28T21:26:42.124Z,false
9,Blueberry Hill Family Restaurant,8.9,13552,4.2,2198,4.5,11354,$$,"Diners, Breakfast & Brunch","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJKc-oq_3EyIARieQf6pEVqzQ,2026-03-28T21:26:42.124Z,false
10,Pizza Rock,8.9,12453,4.3,4168,4.5,8285,$$,"Pizza, Sports Bars","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJ8wP5DKDDyIAR7fzFiQY8_9Y,2026-03-28T21:26:42.124Z,false
11,Secret Pizza,8.8,12282,4.2,6454,4.6,5828,$$,Pizza,"Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJH-R5EDHEyIARIcni5p0HcnA,2026-03-28T21:26:42.124Z,false
12,Fogo de Chão,8.9,12224,4.2,2854,4.5,9370,$$$,"Brazilian, Steakhouses","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJZReBqU_EyIARNiPFO6dAQoc,2026-03-28T21:26:42.124Z,false
13,Nacho Daddy,8.7,12153,4.2,4045,4.4,8108,$$,"New American, Mexican, Breakfast & Brunch","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJtY8W_J_DyIARyd5dfYcYI8o,2026-03-28T21:26:42.124Z,false
14,Sakana,9.2,10865,4.6,6878,4.6,3987,$$,"Japanese, Sushi Bars, Bars","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJOwozGvnEyIARddx7877p7W4,2026-03-28T21:26:42.124Z,false
15,Rollin Smoke Barbeque,8.8,10466,4.3,4994,4.5,5472,$$,"Barbeque, Southern, Sandwiches","Las Vegas, NV",https://www.google.com/maps/place/?q=place_id:ChIJAQAAAJTOyIAR-tmvzrnwCHo,2026-03-28T21:26:42.124Z,false
