Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Montana Ale Works,9.1,5770,4.4,1610,4.6,4160,$$,"New American, Cocktail Bars, Wine Bars","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJmZ08n15ERVMRiOABez4-Xfk,2026-03-28T21:25:36.810Z,false
2,Sidewinders American Grill,8.7,3743,4.0,620,4.4,3123,$$,"Bars, American, Pizza","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJSwAWYohFRVMRuJBvld364JQ,2026-03-28T21:25:36.810Z,false
3,Copper | Whiskey Bar and Grill Bozeman,9.2,3394,4.1,538,4.7,2856,$$$,"Steakhouses, Whiskey Bars","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJST_eFVpERVMRcv07ZaCtfLo,2026-03-28T21:25:36.810Z,false
4,Dave's Sushi,9.1,2796,4.2,514,4.6,2282,$$,"Sushi Bars, Japanese","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJO8mTqVtERVMRccXleOwbeVY,2026-03-28T21:25:36.810Z,false
5,Montana's Rib & Chop House,8.4,2579,3.7,441,4.3,2138,$$,"Steakhouses, Seafood, Bars","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJSahTJ5h7RVMRwWNABjqbnbk,2026-03-28T21:25:36.810Z,false
6,Open Range,7.9,1717,3.7,614,4.1,1103,$$$,"Steakhouses, Wine Bars, Cocktail Bars","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJ-1oVxVtERVMREKJ997VBecs,2026-03-28T21:25:36.810Z,false
7,The Club Tavern and Grill,8.5,1668,3.8,156,4.3,1512,$$,"Sports Bars, American, Breakfast & Brunch","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJI2zG2jlERVMRM4Ho6K6Kdq8,2026-03-28T21:25:36.810Z,false
8,Montana's Rib & Chop House - Bozeman,7.7,1521,2.9,214,4.0,1307,,"Steakhouses, American, Cajun/Creole","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJpQhS3xFHRVMR9iu32bm4iyA,2026-03-28T21:25:36.810Z,false
9,Seven,8.3,1448,3.4,216,4.3,1232,$$,"Japanese, Wine Bars, Beer Bar","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJUwQBox1FRVMRbKRDF0mAlx0,2026-03-28T21:25:36.810Z,false
10,Wild Crumb,9.6,1436,4.7,339,4.8,1097,$$,"Coffee & Tea, Bakeries, Desserts","Livingston, MT",https://www.google.com/maps/place/?q=place_id:ChIJYz06oEJERVMRsykgQXffetg,2026-03-28T21:25:36.810Z,false
