Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Dishoom,9.4,31517,4.5,3006,4.7,28511,,Indian,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJxZXYx7cEdkgRdgAOZ6OHOJw,2026-03-28T21:28:25.193Z,false
2,Dishoom,9.4,22697,4.5,861,4.7,21836,,Indian,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJX991btUEdkgRnyuUWceX00Y,2026-03-28T21:28:25.193Z,false
3,Dishoom,9.6,19735,4.6,606,4.8,19129,,"Indian, Breakfast & Brunch","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJqWL6gz0bdkgRL14qKTnAjXQ,2026-03-28T21:28:25.193Z,false
4,Duck & Waffle,8.8,17184,4.0,1000,4.4,16184,,"Modern European, Bars, British","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJX__2lbIcdkgRPCpSjiwV5LM,2026-03-28T21:28:25.193Z,false
5,Dishoom,9.6,17171,4.6,514,4.8,16657,,"Indian, Breakfast & Brunch","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJv_uo9_YPdkgRq2K1F6d_5-g,2026-03-28T21:28:25.193Z,false
6,Aqua Shard,8.6,16306,3.2,318,4.3,15988,,"British, Breakfast & Brunch, Cocktail Bars","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJl5tV7FoDdkgR6UIgihrVM4c,2026-03-28T21:28:25.193Z,false
7,Bill's,9.0,11423,4.0,260,4.5,11163,,"Modern European, British","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJ14izcNQEdkgR_KRFhObbsNk,2026-03-28T21:28:25.193Z,false
8,Sketch,8.5,11097,4.0,1145,4.3,9952,,"French, Modern European, Cocktail Bars","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJa4btjyoFdkgRJAOdAdsAdbA,2026-03-28T21:28:25.193Z,false
9,Padella,9.4,10653,4.5,329,4.7,10324,,Italian,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJdZ6paFcDdkgRpPUHPngIeq8,2026-03-28T21:28:25.193Z,false
10,Flat Iron,9.2,10563,4.6,292,4.6,10271,,Steakhouses,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJ7a_rDcwEdkgRdiGLXlk7s-g,2026-03-28T21:28:25.193Z,false
11,Chettinad Restaurant,9.2,10134,3.9,73,4.6,10061,,Indian,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJFRIWQywbdkgRLJfGOhhZwac,2026-03-28T21:28:25.193Z,false
12,Burger & Lobster,9.0,9978,4.2,337,4.5,9641,,"Seafood, Burgers","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJmT064NIEdkgROyANkRd5Tik,2026-03-28T21:28:25.193Z,false
13,Flat Iron,9.2,9351,4.4,539,4.6,8812,,Steakhouses,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJL1pkqdUEdkgRS3MDjg6kzVc,2026-03-28T21:28:25.193Z,false
14,Happy London,8.8,9266,3.3,39,4.4,9227,,"Seafood, Chicken Shop, Cocktail Bars","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJ-0sYC0UFdkgR22MCL9yb9sQ,2026-03-28T21:28:25.193Z,false
15,Casa do Frango,9.4,8811,4.1,20,4.7,8791,,"Portuguese, Wine Bars","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJfY7AT_UDdkgRF2ch8sfQVJg,2026-03-28T21:28:25.193Z,false
16,The Churchill Arms,8.9,8794,4.0,453,4.5,8341,,"Pubs, Thai","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJGTDVMfoPdkgROs9QO9Kgmjc,2026-03-28T21:28:25.193Z,false
17,Browns Covent Garden,9.0,8533,3.3,75,4.5,8458,,"Wine Bars, British, Brasseries","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJkWJjuc0EdkgRqL0ffd2j1aA,2026-03-28T21:28:25.193Z,false
18,Bill's Covent Garden Restaurant,9.2,8478,3.8,124,4.6,8354,,"British, Breakfast & Brunch","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJxe02As0EdkgRZeOhNiEbtt8,2026-03-28T21:28:25.193Z,false
19,The Wolseley,8.7,8321,4.0,715,4.4,7606,,"Cafes, British, Tea Rooms","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJr_4cVy8FdkgRIrNbO93eUFM,2026-03-28T21:28:25.193Z,false
20,Mildreds,9.3,7570,4.1,364,4.7,7206,,"Vegan, Salad, Burgers","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJsclcktQEdkgRixfvZ2ewghM,2026-03-28T21:28:25.193Z,false
21,Ye Olde Cheshire Cheese,8.8,7382,4.1,439,4.4,6943,,"Pubs, British","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJM0n9x7IEdkgRZllOf-c6RYQ,2026-03-28T21:28:25.193Z,false
22,Tattu London,9.4,6918,,,4.7,6918,,"Asian Restaurant, Bar","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJHdd94hwbdkgRihDCyn0FD1Y,2026-03-28T21:28:25.193Z,false
23,The Mayfair Chippy,9.0,6523,4.5,687,4.5,5836,,Fish & Chips,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJ6z7OljIFdkgRUDkQBqcNkEk,2026-03-28T21:28:25.193Z,false
24,Bone Daddies,8.9,6486,3.8,364,4.5,6122,,Japanese,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJ6XM3ctMEdkgRnt-6NpixXG8,2026-03-28T21:28:25.193Z,false
25,Roti Chai,8.8,6278,4.1,336,4.4,5942,,"Indian, Kebab","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJ6ymT1TIFdkgRmqJ1wtz__ig,2026-03-28T21:28:25.193Z,false
26,Gaucho Piccadilly,9.0,6150,4.0,163,4.5,5987,,"Argentine, Steakhouses","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJP4ifK9QEdkgRNmLyAs3GJfY,2026-03-28T21:28:25.193Z,false
27,Colonel Saab High Holborn,9.6,6120,,,4.8,6120,,"Indian Restaurant, Vegan Restaurant, Cocktail Bar","London, UK",https://www.google.com/maps/place/?q=place_id:ChIJnVf83AIbdkgR054D55weEBY,2026-03-28T21:28:25.193Z,false
28,Bizzarro,9.0,6029,4.2,235,4.5,5794,,Italian,"London, UK",https://www.google.com/maps/place/?q=place_id:ChIJzS8iTa0adkgRI5E6l8it5_k,2026-03-28T21:28:25.193Z,false
