Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Philippe The Original,8.7,19717,4.0,7709,4.6,12008,$$,"Sandwiches, Breakfast & Brunch, American","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJd9NcMVvGwoARpVcjtJfZBQo,2026-03-28T21:17:55.241Z,false
2,Daikokuya Little Tokyo,8.4,14310,4.1,9919,4.4,4391,$$,"Ramen, Noodles","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJZ_1uw0fGwoARfKCD7TFSP8U,2026-03-28T21:17:55.241Z,false
3,BCD Tofu House,8.5,12044,4.2,5765,4.3,6279,$$,"Korean, Soup","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJobNaHIO4woARmjJB77L7Heg,2026-03-28T21:17:55.241Z,false
4,Salsa & Beer,8.7,11468,4.1,4915,4.5,6553,$$,"Mexican, Beer Bar","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJzcmhrS6UwoARsN3Dcwxep6A,2026-03-28T21:17:55.241Z,false
5,Eggslut,8.4,11260,4.1,6626,4.4,4634,$$,"Breakfast & Brunch, Sandwiches","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJuQ5bj0vGwoAR8xOTMYQAboQ,2026-03-28T21:17:55.241Z,false
6,Yard House,8.2,10289,3.5,3330,4.4,6959,$$,"Bars, Vegetarian, New American","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJG5wBgrfHwoARj_V1a6PV9SQ,2026-03-28T21:17:55.241Z,false
7,JOEY DTLA,9.1,8739,4.4,4228,4.7,4511,,"Sushi Bars, Steakhouses, Wine Bars","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJ8QbxZYTHwoAR9RMDcjmVra4,2026-03-28T21:17:55.241Z,false
8,Langer's Delicatessen,9.0,8674,4.4,5053,4.6,3621,$$,"Delis, Sandwiches","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJP1rAZZ_HwoARAcX96y-BrjY,2026-03-28T21:17:55.241Z,false
9,Leo's Tacos Truck,8.9,8327,4.3,2482,4.5,5845,$,"Mexican, Food Trucks","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJvyR2GP64woARi52Ja30IGjc,2026-03-28T21:17:55.241Z,false
10,Sur Restaurant & Lounge,7.5,8189,3.4,4482,4.2,3707,$$$,"New American, Mediterranean, French","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJJQulGK--woARyBtfGuqLB88,2026-03-28T21:17:55.241Z,false
11,1212 Santa Monica,9.0,7873,4.5,4763,4.5,3110,$$,"Cocktail Bars, New American, Venues & Event Spaces","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJq7OSk8WkwoARIhDrvzps_Cs,2026-03-28T21:17:55.241Z,false
12,Maccheroni Republic,9.0,7654,4.4,4598,4.6,3056,$$,"Italian, Wine Bars","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJvVvovUvGwoARYrOMSp23rpQ,2026-03-28T21:17:55.241Z,false
13,Gjelina,7.5,7435,3.6,5641,4.2,1794,$$$,"New American, Breakfast & Brunch, Cocktail Bars","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJGU5p6ri7woARaCOqe4haSl0,2026-03-28T21:17:55.241Z,false
14,Home Restaurant,8.6,7283,4.1,4150,4.6,3133,$$,"Breakfast & Brunch, Cocktail Bars, New American","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJpSViBLLAwoARJRk5xQxUrMw,2026-03-28T21:17:55.241Z,false
15,République Café Bakery & République Restaurant,9.0,7027,,,4.5,7027,,"French Restaurant, Brunch Restaurant, Breakfast Restaurant","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJqaA5zt-4woARHGIEp3XlsZo,2026-03-28T21:17:55.241Z,false
16,Marugame Monzo,8.9,6705,4.4,5127,4.6,1578,$$,"Japanese, Noodles, Asian Fusion","Los Angeles, CA",https://www.google.com/maps/place/?q=place_id:ChIJfYSGw0fGwoARyMqh31EfoXg,2026-03-28T21:17:55.241Z,false
