Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Churreria El Moro Centro,9.0,60773,,,4.5,60773,,"Breakfast Restaurant, Dessert Shop, Mexican Restaurant","Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJwQNPQCT50YURd0rOhlLTvH4,2026-03-28T21:32:11.461Z,false
2,Sanborns de los Azulejos,9.0,51549,3.6,151,4.5,51398,$$,"Cafeteria, Mexican, Local Flavor","Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJL0UaXyv50YURNyz05p6HsQg,2026-03-28T21:32:11.461Z,false
3,Ling Ling by Hakkasan,9.8,39576,,,4.9,39576,,,"Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJnywNMVv_0YURVuuTE-_GX4Q,2026-03-28T21:32:11.461Z,false
4,La Casa de Toño,9.0,32974,4.3,944,4.5,32030,$$,Mexican,"Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJkajXYzb_0YURT0Rtj5NgKeo,2026-03-28T21:32:11.461Z,false
5,Diana Restaurant,9.2,27816,3.5,18,4.6,27798,$$,Mexican,"Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJ5bpr4kv_0YURWlsEfRbpRUk,2026-03-28T21:32:11.461Z,false
6,Café de Tacuba,8.8,27266,4.0,450,4.4,26816,$$,Mexican,"Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJ___D_iz50YURnlo8sopE6ss,2026-03-28T21:32:11.461Z,false
7,Taqueria Orinoco,9.2,23203,4.6,539,4.6,22664,$,Tacos,"Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJQ11IrDn_0YURx17mDNOe5bY,2026-03-28T21:32:11.461Z,false
8,El Cardenal,9.2,20454,4.5,489,4.6,19965,$$,Mexican,"Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJh3D2US350YURVW0T-_DRdsA,2026-03-28T21:32:11.461Z,false
9,Café El Popular,8.4,19943,4.0,128,4.2,19815,$,"Cafeteria, Breakfast & Brunch","Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJOw1ZRC350YUR9g47BGXQoPM,2026-03-28T21:32:11.461Z,false
10,La Gruta,8.6,18758,3.8,324,4.3,18434,$$,Mexican,"Mexico City, Mexico",https://www.google.com/maps/place/?q=place_id:ChIJUe8vcIHq0YUR3bTiJN-8cn8,2026-03-28T21:32:11.461Z,false
