Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,CVI.CHE 105,9.6,35646,4.4,6112,4.9,29534,$$$,"Peruvian, Seafood","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJlz72E5622YgRLXWCKTEFM_M,2026-03-28T21:23:53.777Z,false
2,Versailles,8.8,34081,4.0,7004,4.5,27077,$$,"Cuban, Coffee & Tea, Sandwiches","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJt9yvFgu32YgRrk-vKGEQB6g,2026-03-28T21:23:53.777Z,false
3,Old's Havana Cuban Bar & Cocina,9.5,26861,4.4,3176,4.8,23685,$$,"Cuban, Bars, Venues & Event Spaces","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJCWCYxvC22YgRNWU2W-fZgn4,2026-03-28T21:23:53.777Z,false
4,Rusty Pelican - Miami,9.2,23748,3.8,3076,4.7,20672,$$$,"Seafood, New American, Venues & Event Spaces","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJc2PcMM612YgR_kdEdDDuTrQ,2026-03-28T21:23:53.777Z,false
5,MILA Restaurant,9.3,21687,4.1,1891,4.7,19796,$$$$,"Mediterranean, Asian Fusion, Lounges","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJ__-_24W02YgRXJM6PONpVbM,2026-03-28T21:23:53.777Z,false
6,Crazy About You,9.4,21586,4.2,2873,4.8,18713,$$$,"Mediterranean, Italian, Spanish","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJ56WSjYG22YgRV8CLvPG3z9E,2026-03-28T21:23:53.777Z,false
7,Pollos & Jarras,9.7,21518,4.3,1146,4.9,20372,$$$,Peruvian,"Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJn3znPZ622YgR1iIhdZhYq98,2026-03-28T21:23:53.777Z,false
8,La Ventana Latin Restaurant Miami Beach,9.5,18081,4.3,1513,4.8,16568,$$,"Breakfast & Brunch, Colombian, Seafood","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJ7zncPI202YgRjUW6EjX8QoI,2026-03-28T21:23:53.777Z,false
9,La Mulata,9.6,16684,4.6,1058,4.8,15626,$$,"Cuban, Bars, Breakfast & Brunch","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJJ_jpNqm12YgRKbNzYjFfQ48,2026-03-28T21:23:53.777Z,false
10,Joe's Stone Crab,8.8,16001,4.1,4677,4.5,11324,$$$,"Seafood, Cocktail Bars, American","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJgYZ4DvG02YgR6zxax8FTfHo,2026-03-28T21:23:53.777Z,false
11,Limoncello Miami - Best Italian restaurant Miami Beach,9.8,15882,4.5,655,4.9,15227,$$$,"Italian, Pizza, Seafood","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJ1bgx61u12YgRC6hfGKv_0sU,2026-03-28T21:23:53.777Z,false
12,Dolores But You Can Call Me Lolita,9.4,14372,4.0,2017,4.8,12355,$$,"New American, Cocktail Bars, Tapas Bars","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJ9aBMC4S22YgRbGgugfhBkbA,2026-03-28T21:23:53.777Z,false
13,Mango's Tropical Cafe,9.0,14122,3.8,2086,4.6,12036,$$,"Dance Clubs, Latin American, Italian","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJsQeCYpK02YgRSn7c430EGV4,2026-03-28T21:23:53.777Z,false
14,Yardbird Table & Bar,9.0,13753,4.4,6964,4.6,6789,$$$,"Southern, New American, Cocktail Bars","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJYzGk04e02YgRoXmsaZCIoJ8,2026-03-28T21:23:53.777Z,false
15,Havana 1957,8.6,12379,4.1,3862,4.4,8517,$$,"Cuban, Sandwiches, Cocktail Bars","Miami, FL",https://www.google.com/maps/place/?q=place_id:ChIJrWlI4o-02YgRChVUg23Pb_k,2026-03-28T21:23:53.777Z,false
