Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Hattie B's Hot Chicken - Nashville - Midtown,9.0,20986,4.4,7882,4.6,13104,$$,"Chicken Wings, Chicken Shop, Sandwiches","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJSbQCipNmZIgRm4c6Nz9sGaE,2026-03-28T21:24:24.170Z,false
2,The Hampton Social - Nashville,9.7,19498,4.3,1912,4.9,17586,$$,"New American, Cocktail Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ2zNcAORnZIgRDegDF_fkiW0,2026-03-28T21:24:24.170Z,false
3,The Loveless Cafe,9.1,16103,4.3,3332,4.6,12771,$$,"Breakfast & Brunch, American, Southern","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJGVuc4xGGZIgR7fI2E4yqTpU,2026-03-28T21:24:24.170Z,false
4,Martin's Bar-B-Que Joint,8.8,14906,4.1,3609,4.5,11297,$$,"Barbeque, American, Chicken Wings","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ1xckBl1mZIgRojazqOFvSW0,2026-03-28T21:24:24.170Z,false
5,Ole Red,9.0,14548,3.6,1227,4.6,13321,$$,"Bars, Southern, Music Venues","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJhdXu3FtmZIgR3NE0dkDYkr0,2026-03-28T21:24:24.170Z,false
6,Puckett's Restaurant,8.5,12569,3.9,3682,4.4,8887,$$,"Southern, Barbeque, Breakfast & Brunch","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJjYUYWVhmZIgRizOTUrFR_1M,2026-03-28T21:24:24.170Z,false
7,Biscuit Love: Gulch,8.6,12170,4.2,5432,4.4,6738,$$,"Southern, Breakfast & Brunch, American","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJNT0D7YpmZIgRW_JTBDL7Iwg,2026-03-28T21:24:24.170Z,false
8,Hawkers Asian Street Food,9.7,11586,4.4,1546,4.9,10040,$$,"Tapas/Small Plates, Bars, Asian Fusion","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJzb4BtQVnZIgR93Nv50R6YiY,2026-03-28T21:24:24.170Z,false
9,The Pharmacy,8.7,11442,4.1,3755,4.5,7687,$$,"Burgers, American, Beer Gardens","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJSwm2oM9nZIgRBi3dZCQW-P0,2026-03-28T21:24:24.170Z,false
10,Pinewood Social,9.0,10089,4.1,2419,4.6,7670,$$,"American, Breakfast & Brunch, Bowling","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJKZauwUNmZIgRblF0U05TJWI,2026-03-28T21:24:24.170Z,false
11,Monell's Dining & Catering,9.5,9875,4.6,2194,4.8,7681,$$,"Southern, Soul Food, Breakfast & Brunch","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJMQjgCv1mZIgRNRrINpRe1VA,2026-03-28T21:24:24.170Z,false
12,Hattie B's Hot Chicken - Nashville - Melrose,9.1,9286,4.3,1241,4.6,8045,$$,"Chicken Wings, Chicken Shop, Sandwiches","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJWWwzFtRlZIgRkMRuJO7-H4s,2026-03-28T21:24:24.170Z,false
13,Acme Feed & Seed,8.6,8825,3.9,2066,4.4,6759,$$,"Bars, American, Venues & Event Spaces","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJpdVYp1tmZIgRb216bK39wmE,2026-03-28T21:24:24.170Z,false
14,The Stillery,9.0,8233,4.4,3823,4.6,4410,$$,"New American, Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ6VZhyFtmZIgR3wc_pOZYUq4,2026-03-28T21:24:24.170Z,false
15,The Diner,7.9,8027,3.0,1156,4.1,6871,$$,"New American, Breakfast & Brunch, Diners","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ5wpyfVxmZIgRzqgMZq_erNY,2026-03-28T21:24:24.170Z,false
16,STK Steakhouse,9.2,7943,3.5,743,4.7,7200,$$$$,"Steakhouses, American, Cocktail Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ3W9FQ8JnZIgRBXF9KYtQyx0,2026-03-28T21:24:24.170Z,false
17,Margaritaville Restaurant - Nashville,8.2,7766,3.2,845,4.2,6921,$$,"American, Bars, Music Venues","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJM43Q5ltmZIgRLh4H1APwfhc,2026-03-28T21:24:24.170Z,false
18,Peg Leg Porker,8.8,7731,4.3,3879,4.5,3852,$$,Barbeque,"Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJZ8YL0mFmZIgRk8iaOW99B9c,2026-03-28T21:24:24.170Z,false
19,Assembly Food Hall,9.4,6968,4.4,550,4.7,6418,$$,"Food Court, Music Venues","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJryDB4Q1nZIgR7ToLmwlalqY,2026-03-28T21:24:24.170Z,false
20,Kid Rock's Big Honky Tonk and Rock n' Roll Steakhouse,8.6,6957,3.6,1028,4.4,5929,$$,"Steakhouses, Music Venues, Sports Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ5_2N9ndnZIgRlgwq58cmEXo,2026-03-28T21:24:24.170Z,false
21,Milk & Honey,8.6,6921,4.2,3276,4.4,3645,$$,"New American, Breakfast & Brunch, American","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJCUldzfRmZIgRTdc-qk-jhFo,2026-03-28T21:24:24.170Z,false
22,Robert's Western World,9.3,6581,4.5,1097,4.7,5484,$$,"Music Venues, Dive Bars, American","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJu3t9SFlmZIgRwC8VAVQPHjo,2026-03-28T21:24:24.170Z,false
23,The Southern Steak & Oyster,8.7,6568,4.1,2709,4.5,3859,$$$,"Southern, Breakfast & Brunch, Steakhouses","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJsYdleVxmZIgRHQQR1E-Fn38,2026-03-28T21:24:24.170Z,false
24,Five Points Pizza,9.3,6422,4.5,1664,4.7,4758,$$,"Italian, Pizza, Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ3cbhlNJnZIgR_l9Xa4lO8rc,2026-03-28T21:24:24.170Z,false
25,The Row,8.5,6261,3.9,1905,4.4,4356,$$,"Southern, Pubs, Barbeque","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ_YknbZRmZIgRqN7iuq5Qpmk,2026-03-28T21:24:24.170Z,false
26,Darfons Restaurant & Bar,9.1,6089,4.4,1304,4.6,4785,$$$,"American, New American, Cocktail Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJlY6Uil5pZIgRF2aDe5dcDjk,2026-03-28T21:24:24.170Z,false
27,Hattie B's Hot Chicken - Nashville - Lower Broadway,9.1,5765,4.4,1276,4.6,4489,$$,"Chicken Shop, Sandwiches, Chicken Wings","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJDaBISpFnZIgRAx22l-PGg5I,2026-03-28T21:24:24.170Z,false
28,Edley's Bar-B-Que,8.9,5704,4.1,1677,4.6,4027,$$,"Barbeque, Southern, Cocktail Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ7ZI91y9kZIgR3zvsI2y_qyo,2026-03-28T21:24:24.170Z,false
29,Jason Aldean's Kitchen + Rooftop Bar,8.0,5626,3.7,1244,4.1,4382,$$,"American, Beer Bar, Southern","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJW0-6jWxnZIgRUX6xNdCJls4,2026-03-28T21:24:24.170Z,false
30,Bartaco - Nashville,9.0,5169,4.4,1973,4.6,3196,$$,"Mexican, Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJve12si9kZIgRk5eH9rElDCU,2026-03-28T21:24:24.170Z,false
31,Husk,8.5,4948,3.9,1973,4.5,2975,$$$,"Southern, New American, Cocktail Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJI8FYhUJmZIgRasB5ff6LRQI,2026-03-28T21:24:24.170Z,false
32,Urban Grub,8.9,4938,4.2,1819,4.6,3119,$$$,"Southern, Seafood, Cocktail Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJI8ZqVC5kZIgRTUtWeHRCw8s,2026-03-28T21:24:24.170Z,false
33,Chauhan Ale & Masala House,8.7,4867,4.2,1564,4.4,3303,$$,"Indian, Southern, Bars","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJZcOjCfNmZIgRzhH6Vr1rd9g,2026-03-28T21:24:24.170Z,false
34,Saint Anejo,8.7,4763,3.8,1114,4.5,3649,$$,"Cocktail Bars, Mexican, Breakfast & Brunch","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJc87PvPRmZIgRyIDOhbP1pmM,2026-03-28T21:24:24.170Z,false
35,The Finch,9.5,4658,4.4,449,4.8,4209,,American,"Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJD71cuSRnZIgRcwLkirc7vXg,2026-03-28T21:24:24.170Z,false
36,Skull's Rainbow Room,9.1,4579,4.4,1569,4.6,3010,$$$,"Cocktail Bars, Steakhouses, Seafood","Nashville, TN",https://www.google.com/maps/place/?q=place_id:ChIJ58b_zllmZIgRu4RrAop7XuY,2026-03-28T21:24:24.170Z,false
