Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Cafe Du Monde,8.9,49536,4.2,4551,4.5,44985,$,"Cafes, Coffee & Tea","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJTT5Hm-ClIIYR97Y1jn7-aA0,2026-03-28T21:20:37.111Z,false
2,Oceana Grill,8.7,29805,4.2,10759,4.4,19046,$$,"Cajun/Creole, Seafood, Breakfast & Brunch","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJDVhB0w2mIIYRZVLScBsQtTo,2026-03-28T21:20:37.111Z,false
3,Mother's Restaurant,8.0,23547,3.5,6569,4.2,16978,$$,"Cajun/Creole, Breakfast & Brunch, Sandwiches","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJfV2h73KmIIYRRDpBV-crpB8,2026-03-28T21:20:37.111Z,false
4,Acme Oyster House,8.7,22780,4.1,9261,4.5,13519,$$,"Seafood, Cajun/Creole, Live/Raw Food","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ01VeXQymIIYRI6lnasCzx3M,2026-03-28T21:20:37.111Z,false
5,Ruby Slipper Central Business District,8.9,18354,4.3,7654,4.6,10700,$$,"Breakfast & Brunch, Cafes","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJewWmlKCnIIYRSgu7dxtZsLc,2026-03-28T21:20:37.111Z,false
6,Deanie's Seafood,8.7,17107,3.8,3367,4.5,13740,$$,"Seafood, Cajun/Creole, Salad","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ28cfCwymIIYRmTnBVitvmZ0,2026-03-28T21:20:37.111Z,false
7,Gumbo Shop,8.5,14900,3.9,4932,4.4,9968,$$,Cajun/Creole,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ7SpQ6RGmIIYRsuU_zP71sBI,2026-03-28T21:20:37.111Z,false
8,Commander's Palace,8.9,14524,4.3,6244,4.6,8280,$$$,"Cajun/Creole, Cocktail Bars, Breakfast & Brunch","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJW3d2Wc2lIIYRu-qs_NaSOkg,2026-03-28T21:20:37.111Z,false
9,Felix's Restaurant & Oyster Bar,8.4,14116,3.9,5197,4.4,8919,$$,"Seafood, Cajun/Creole","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJs2yfQgymIIYRT9HptHX817A,2026-03-28T21:20:37.111Z,false
10,"Cafe Beignet, Royal Street",8.7,13660,3.9,3479,4.5,10181,$$,"Breakfast & Brunch, Cafes, Sandwiches","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJp1tzyA2mIIYRH5Z5cN2Dlag,2026-03-28T21:20:37.111Z,false
11,Pat O'Brien’s,8.8,13654,4.0,2835,4.5,10819,$$,"Piano Bars, American, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJDyC9Ig6mIIYRDWmrSR08N54,2026-03-28T21:20:37.111Z,false
12,Creole House Restaurant & Oyster Bar,8.3,12401,3.9,2949,4.2,9452,$$,"Cajun/Creole, Seafood, Breakfast & Brunch","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJpUfQIg2mIIYRi56C8hYGUVI,2026-03-28T21:20:37.111Z,false
13,Royal House Oyster Bar,8.0,11821,3.8,6000,4.2,5821,$$,"Cajun/Creole, Seafood, Sandwiches","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJmxXK5g2mIIYRUffuf-CFtzU,2026-03-28T21:20:37.111Z,false
14,Drago's Seafood Restaurant,7.8,10807,3.6,4303,4.1,6504,$$$,Seafood,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJvaeaCm2mIIYRUELDbjipMJ0,2026-03-28T21:20:37.111Z,false
15,Neyow's Creole Cafe,8.5,10657,4.0,2655,4.3,8002,$$,Cajun/Creole,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ6yggIfWlIIYRX1eNYK3eZ2w,2026-03-28T21:20:37.111Z,false
16,Luke,8.7,10569,4.2,5456,4.5,5113,$$$,"French, German, Cajun/Creole","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJf-CSq3SmIIYR1QNnxY9r5wo,2026-03-28T21:20:37.111Z,false
17,Coop's Place,8.1,10038,3.6,3694,4.3,6344,$$,"Cajun/Creole, Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ46iuJRemIIYRu9A0CFzIAHg,2026-03-28T21:20:37.111Z,false
18,Napoleon House,9.0,9313,4.1,2078,4.6,7235,$$,"American, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJZYGmBhKmIIYRPBmyGfELFTs,2026-03-28T21:20:37.111Z,false
19,Olde Nola Cookery,8.7,9030,4.2,2232,4.4,6798,$$,"Cajun/Creole, Seafood, Soul Food","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ10PoawymIIYRw-RNuB0OBRc,2026-03-28T21:20:37.111Z,false
20,GW Fins,9.4,8731,4.6,3448,4.8,5283,$$$,Seafood,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ8W3hFQymIIYRQObKMMNMyRo,2026-03-28T21:20:37.111Z,false
21,Parkway Bakery & Tavern,9.3,8576,4.5,2839,4.7,5737,$$,"Sandwiches, Seafood, Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJMwzPjvWlIIYRGeDgzUA-gCI,2026-03-28T21:20:37.111Z,false
22,Mambo’s,8.6,8537,4.2,3239,4.4,5298,$$,"Cajun/Creole, Seafood, Soul Food","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJbVEt50anIIYR88bwfNyAUw8,2026-03-28T21:20:37.111Z,false
23,Brennan's,8.8,8472,4.1,2470,4.5,6002,$$$,Cajun/Creole,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJjbdq3A2mIIYRCrLg6e3eRy8,2026-03-28T21:20:37.111Z,false
24,Bourbon House,8.2,8447,3.6,2671,4.3,5776,$$$,"Cajun/Creole, Seafood, Venues & Event Spaces","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJs_quaAymIIYRUwRs2-LHWqA,2026-03-28T21:20:37.111Z,false
25,Pêche,9.0,8326,4.3,2856,4.6,5470,$$$,Seafood,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJv2VvX3GmIIYRlCIIn4WtIYY,2026-03-28T21:20:37.111Z,false
26,Ruby Slipper Decatur,9.3,8301,4.4,1946,4.7,6355,$$,"Breakfast & Brunch, Cafes","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJAXeLvBWnIIYRzQUkdw2vsDk,2026-03-28T21:20:37.111Z,false
27,Port Of Call,8.8,8245,4.0,2054,4.5,6191,$$,"Steakhouses, Burgers, Tiki Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ6ZxTOBqmIIYRYjp6qTmAmKQ,2026-03-28T21:20:37.111Z,false
28,Superior Seafood & Oyster Bar,8.8,8007,4.1,2244,4.5,5763,$$,"Seafood, Cajun/Creole, Brasseries","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ458YFE2kIIYRB-oAxl2dpww,2026-03-28T21:20:37.111Z,false
29,NOLA Poboys,8.8,7927,4.0,1898,4.5,6029,$$,"Seafood, Sandwiches, Cajun/Creole","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ4byyRxCmIIYROLZwicJz86E,2026-03-28T21:20:37.111Z,false
30,Cochon,8.8,7878,4.2,5471,4.8,2407,$$,"Cajun/Creole, Southern, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJCe1AzC2nIIYRTU9lLew974M,2026-03-28T21:20:37.111Z,false
31,Muriel's Jackson Square,9.0,7875,4.3,2693,4.6,5182,$$$,Cajun/Creole,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJaS5FoBGmIIYRTXOjqm3XxI0,2026-03-28T21:20:37.111Z,false
32,Cafe Fleur De Lis,8.6,7721,4.0,2705,4.5,5016,$$,"Coffee & Tea, Breakfast & Brunch, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ2ybOvA2mIIYRMRjz-wyjyu4,2026-03-28T21:20:37.111Z,false
33,Cochon Butcher,9.2,7166,4.5,4759,4.8,2407,$$,"Sandwiches, Butcher, Beer, Wine & Spirits","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJCe1AzC2nIIYRTU9lLew974M,2026-03-28T21:20:37.111Z,false
34,"Ruby Slipper Canal, French Quarter",8.8,7140,4.2,2653,4.5,4487,$$,"Cafes, Breakfast & Brunch","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJu5XLxwumIIYReyxiIP1o_7Q,2026-03-28T21:20:37.111Z,false
35,Daisy Dukes Creole Kitchen,8.9,7107,4.0,902,4.5,6205,$$,"Cajun/Creole, Breakfast & Brunch, Southern","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJaQzacAumIIYRMvCGu_BuBBg,2026-03-28T21:20:37.111Z,false
36,The Original Pierre Maspero's,8.6,7049,4.1,2516,4.4,4533,$$,"Cajun/Creole, Seafood, Breakfast & Brunch","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJTSWaCRKmIIYRk27PVcEYqRs,2026-03-28T21:20:37.111Z,false
37,Mulate's | The Original Cajun Restaurant,7.8,6960,3.3,1528,4.1,5432,$$,"Cajun/Creole, Seafood","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJvTnAEW6mIIYRqA7o0JRIRyA,2026-03-28T21:20:37.111Z,false
38,Willa Jean,9.0,6939,4.3,2685,4.6,4254,$$,"Bakeries, Breakfast & Brunch, Southern","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJMfQiid-lIIYRiW0km1nb_Lo,2026-03-28T21:20:37.111Z,false
39,Katie's Restaurant & Bar,9.0,6934,4.2,1933,4.6,5001,$$,"American, Bars, Cajun/Creole","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJNXSkY4qlIIYRAU7Df0A64kI,2026-03-28T21:20:37.111Z,false
40,Mr Ed's Oyster Bar,8.9,6920,4.3,2222,4.5,4698,$$,"Cajun/Creole, Seafood","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJUU5knQ2mIIYRKsodWGtdUzQ,2026-03-28T21:20:37.111Z,false
41,Antoine's Restaurant,8.0,6842,3.4,2144,4.3,4698,$$$,"French, Cajun/Creole, Seafood","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJWegGCA6mIIYRYAiMKN4T4CM,2026-03-28T21:20:37.111Z,false
42,Red Fish Grill,8.7,6783,4.1,2535,4.5,4248,$$,"Seafood, Cajun/Creole","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJFbotAG2nIIYR8tbRE9Xeimg,2026-03-28T21:20:37.111Z,false
43,Mr. B's Bistro,8.8,6750,4.2,2720,4.5,4030,$$$,"Cajun/Creole, Breakfast & Brunch, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJt2f3WgymIIYRb1B1S_gWc3I,2026-03-28T21:20:37.111Z,false
44,New Orleans Creole Cookery,7.7,6301,3.5,1700,4.0,4601,$$,"Cajun/Creole, American, Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJM3NJIxKmIIYRpa5RBYqsR0c,2026-03-28T21:20:37.111Z,false
45,Central Grocery & Deli,9.0,6248,4.3,1963,4.6,4285,$$,"Grocery, Delis, Sandwiches","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJy9-jMRGmIIYR23HJel-KW6A,2026-03-28T21:20:37.111Z,false
46,The Rum House,9.0,6189,4.3,1964,4.6,4225,$$,"Caribbean, Tacos, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJETttTjKkIIYRfnaTcqDqbnw,2026-03-28T21:20:37.111Z,false
47,District Donuts Sliders Brew,9.0,6179,4.4,2356,4.6,3823,$$,"Coffee & Tea, Donuts, Burgers","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJW0nJ4dSlIIYRHOsoRvpib6w,2026-03-28T21:20:37.111Z,false
48,Jacques-Imo's Cafe,9.1,5972,4.4,2897,4.7,3075,$$$,Cajun/Creole,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJhRTlvj-lIIYRb1qdXzLPu-Y,2026-03-28T21:20:37.111Z,false
49,Stanley,8.3,5672,3.9,2655,4.4,3017,$$,Breakfast & Brunch,"New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJXUB3oBGmIIYRDRcvPi-pdDM,2026-03-28T21:20:37.111Z,false
50,Atchafalaya,9.2,5669,4.5,2506,4.7,3163,$$$,"Cajun/Creole, Breakfast & Brunch, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJC8nSXDGkIIYRErGwcVpRxTU,2026-03-28T21:20:37.111Z,false
51,Jimmy J's Cafe,8.8,5423,4.2,2446,4.6,2977,$$,"Breakfast & Brunch, Cafes","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJ3Xeo_AymIIYRCuyBsDV0H18,2026-03-28T21:20:37.111Z,false
52,Domenica,8.5,5300,4.1,2317,4.4,2983,$$$,"Italian, Pizza","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJTz6VoQumIIYRAXvVrezBp-U,2026-03-28T21:20:37.111Z,false
53,Gallier Restaurant & Oyster Bar,9.1,5182,4.4,1941,4.6,3241,$$,"Seafood, Cajun/Creole, Southern","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJfYOnegumIIYRuWI6YG046PI,2026-03-28T21:20:37.111Z,false
54,Café Amelie,8.7,5046,4.3,3299,4.4,1747,$$,"Breakfast & Brunch, Cafes, Cocktail Bars","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJITpR_xCmIIYRHDBJmP3UXZg,2026-03-28T21:20:37.111Z,false
55,Daisy Mae's Southern Fried Chicken & Breakfast,9.0,4564,,,4.5,4564,,"Breakfast Restaurant, Soul Food Restaurant, Chicken Restaurant","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJXxJf-vqnIIYROj6kgaQkMec,2026-03-28T21:20:37.111Z,false
56,Emeril's,8.6,4350,4.0,1848,4.5,2502,$$$$,"New American, Cajun/Creole, Seafood","New Orleans, LA",https://www.google.com/maps/place/?q=place_id:ChIJp6mGj3GmIIYRfS0qjpoGsmo,2026-03-28T21:20:37.111Z,false
