Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Katz's Delicatessen,8.8,68705,4.1,16906,4.5,51799,$$,"Delis, American","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJCar0f49ZwokR6ozLV-dHNTE,2026-03-28T21:19:30.399Z,false
2,Grimaldi's Pizzeria,8.0,14671,3.6,5145,4.2,9526,$$,"Pizza, Desserts, Beer, Wine & Spirits","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJgzfayTBawokR9jTsF6hLf40,2026-03-28T21:19:30.399Z,false
3,La Grande Boucherie,9.1,14305,4.5,4428,4.6,9877,$$$,"French, Steakhouses, Cocktail Bars","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ58OtM8pZwokRbd6DT6gcVys,2026-03-28T21:19:30.399Z,false
4,Joe's Shanghai,8.0,13785,3.8,7662,4.2,6123,$$,"Shanghainese, Seafood, Noodles","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ2XIY-CZawokRokUjxBSl5hw,2026-03-28T21:19:30.399Z,false
5,Veselka,8.8,11089,4.0,3452,4.6,7637,$$,Ukrainian,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJlxDiXJxZwokRp4HHbeYqXXU,2026-03-28T21:19:30.399Z,false
6,Bubby's,8.6,10963,3.9,2551,4.4,8412,$$,"American, Breakfast & Brunch, Sandwiches","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJETquaPVZwokRVYYGSKrg4E0,2026-03-28T21:19:30.399Z,false
7,Cafe Habana,8.7,8056,4.0,3376,4.6,4680,$$,"Cuban, Mexican","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJPQOh8YVZwokRE2WsbZI4tOk,2026-03-28T21:19:30.399Z,false
8,Le Bernardin,9.0,7975,4.4,3223,4.6,4752,$$$$,"French, Lounges","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJV7QQ6kdZwokRax4615zpSGU,2026-03-28T21:19:30.399Z,false
9,The Smith,8.7,7861,4.1,1622,4.4,6239,$$$,"New American, Breakfast & Brunch, Cocktail Bars","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJK0Nld6ZZwokRyOd9fsyinLY,2026-03-28T21:19:30.399Z,false
10,Eataly NYC Downtown,8.2,7744,3.7,1481,4.2,6263,$$,"Grocery, Italian, Cafes","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJvx7i_BlawokRidb5WfdvqRM,2026-03-28T21:19:30.399Z,false
11,Cafeteria,7.9,7648,3.6,3789,4.3,3859,$$,"New American, Cocktail Bars, Comfort Food","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ329uV7xZwokRfM6dcDcOtKY,2026-03-28T21:19:30.399Z,false
12,Soothr,9.3,7411,4.5,1806,4.7,5605,$$,"Thai, Noodles, Cocktail Bars","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ0aS81yNZwokRIk-S2YSuvls,2026-03-28T21:19:30.399Z,false
13,Au Cheval,9.3,7306,4.3,1358,4.7,5948,$$$,"Burgers, New American, Cocktail Bars","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJt_HATrRbwokREfGhs1PnzwQ,2026-03-28T21:19:30.399Z,false
14,Jack's Wife Freda,8.4,7188,3.9,2704,4.4,4484,$$,"Breakfast & Brunch, Mediterranean, New American","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJA4i114hZwokRaqeyrmI80x0,2026-03-28T21:19:30.399Z,false
15,Mei Lai Wah Bakery,8.6,6259,4.1,2526,4.4,3733,$,"Bakeries, Dim Sum, Noodles","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJM3elBidawokRJKPC55N6pQI,2026-03-28T21:19:30.399Z,false
16,Tonchin,9.0,5867,4.4,2488,4.6,3379,$$,"Ramen, Cocktail Bars, Chicken Wings","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJBwGziqlZwokRb3MTH3xUt0Y,2026-03-28T21:19:30.399Z,false
17,Saigon Shack,8.5,5790,4.1,2831,4.4,2959,$$,"Vietnamese, Sandwiches, Coffee & Tea","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJp7CcJ5JZwokRCZHeOFZwxkc,2026-03-28T21:19:30.399Z,false
18,Lillie's Victorian Establishment,8.3,5718,3.9,2060,4.3,3658,$$,"Bars, Gastropubs, Burgers","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJkdo-ilZYwokRdRUnnvCrsLA,2026-03-28T21:19:30.399Z,false
19,Da Nico Ristorante,8.4,5576,3.9,1238,4.3,4338,$$,Italian,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJkwvCUIhZwokRBOF1SVW2DH8,2026-03-28T21:19:30.399Z,false
20,Shanghai 21,8.8,5571,4.2,2142,4.5,3429,$$,Shanghainese,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJTVG07iZawokRq9rPs7ib8bY,2026-03-28T21:19:30.399Z,false
21,Coppelia,8.6,5478,4.0,1710,4.4,3768,$$,"Cuban, Latin American, Bars","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJZ66u571ZwokRnGWVfoiFiCA,2026-03-28T21:19:30.399Z,false
22,Minetta Tavern,8.6,5438,4.1,2664,4.5,2774,$$$,"French, New American, Breakfast & Brunch","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJeQcZlpFZwokRjoemq-_w9QA,2026-03-28T21:19:30.399Z,false
23,Cafe Mogador,8.7,5317,4.1,2297,4.5,3020,$$,"Moroccan, Middle Eastern, Breakfast & Brunch","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJK48-E51ZwokRvAA-v6fx9y0,2026-03-28T21:19:30.399Z,false
24,Lucali,8.4,5274,4.2,2255,4.2,3019,$$,Pizza,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ395CMVlawokRt2oLH_8zmvI,2026-03-28T21:19:30.399Z,false
25,Schnipper's,8.1,5242,3.5,1194,4.2,4048,$$,"Burgers, American, Sandwiches","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJx97RSlNYwokRUXP8Ihf0P_M,2026-03-28T21:19:30.399Z,false
26,Shuka,9.1,5163,4.4,1239,4.6,3924,$$$,"Mediterranean, Cocktail Bars, Breakfast & Brunch","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ3dbcl41ZwokRouIrXtQ5erk,2026-03-28T21:19:30.399Z,false
27,Her Name Is Han,8.8,5025,4.3,2269,4.5,2756,$$,"Korean, Breakfast & Brunch","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJKRVIbKhZwokRBg-yFy8VlKA,2026-03-28T21:19:30.399Z,false
28,Gelso & Grand,8.7,4978,4.3,1670,4.4,3308,$$,"Italian, Pasta Shops, Pizza","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJS3EpUohZwokReLFKxxE_zKE,2026-03-28T21:19:30.399Z,false
29,Pommes Frites,9.1,4851,4.4,1217,4.6,3634,$$,"Belgian, Specialty Food, Poutineries","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJDUFxhJFZwokRy_4jLT8Uwcs,2026-03-28T21:19:30.399Z,false
30,Manhatta,9.3,4678,4.4,920,4.7,3758,$$$$,New American,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJoTXWl8dbwokRpKA2BJFVsGA,2026-03-28T21:19:30.399Z,false
31,Carbone,8.3,4670,4.0,2080,4.3,2590,$$$$,Italian,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJmSvG_ZFZwokRTOFeiLXzkmA,2026-03-28T21:19:30.399Z,false
32,Freemans,8.2,4641,3.8,2300,4.4,2341,$$,"Breakfast & Brunch, Lounges, American","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJRcCC14VZwokRvJiDo29-IGM,2026-03-28T21:19:30.399Z,false
33,Delmonico's,8.6,4638,3.9,1449,4.5,3189,$$$$,"Steakhouses, American","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJwy8lmxZawokRtWUTg5wuv6I,2026-03-28T21:19:30.399Z,false
34,Emily,8.8,4570,4.1,1158,4.5,3412,$$,"Pizza, Burgers","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJheDLi5JZwokR3olqGKqz8hI,2026-03-28T21:19:30.399Z,false
35,Watermark,8.4,4515,3.9,936,4.3,3579,$$$,"Cocktail Bars, Seafood, Venues & Event Spaces","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ7ek7qdRbwokRt3sVsitU9r4,2026-03-28T21:19:30.399Z,false
36,Cecconi's Dumbo,7.9,4396,3.5,1276,4.1,3120,$$$,Italian,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJB2xIGTFawokRSX4sCtT9djg,2026-03-28T21:19:30.399Z,false
37,La Lanterna di Vittorio,8.7,4192,4.2,1821,4.5,2371,$$,"Italian, Cafes, Pizza","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJPxCEeZFZwokRzk5UghlXZWU,2026-03-28T21:19:30.399Z,false
38,Sweet Chick,8.3,4122,4.0,2026,4.3,2096,$$,"Southern, Breakfast & Brunch, Chicken Shop","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJLWBE3YNZwokRh2EBs1QXfzM,2026-03-28T21:19:30.399Z,false
39,Nan Xiang Soup Dumplings - Koreatown,9.3,4090,4.6,1533,4.7,2557,$$,"Dim Sum, Desserts, Noodles","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ5bXhW_pZwokRS1dCnTWL3WA,2026-03-28T21:19:30.399Z,false
40,The Modern,9.0,4049,4.3,1327,4.6,2722,$$$$,New American,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJMW-gxPtYwokRzDlnsRgq9rA,2026-03-28T21:19:30.399Z,false
41,The Dutch,8.0,3851,3.5,1444,4.3,2407,$$$,American,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ3RB9uI1ZwokRxCJXW-HpYZI,2026-03-28T21:19:30.399Z,false
42,Golden Diner,8.7,3833,4.3,1100,4.4,2733,$$,"Diners, Breakfast & Brunch, Sandwiches","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ1-mW-LhbwokR7Ryv5ha-gzc,2026-03-28T21:19:30.399Z,false
43,Pastis,9.0,3803,4.2,740,4.6,3063,$$$,French,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJ8U_F9b9ZwokRTaHyDKWRNSg,2026-03-28T21:19:30.399Z,false
44,Upland,8.7,3744,4.1,1344,4.5,2400,$$$,"New American, Burgers","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJWVD7FadZwokRs_pS6XY7VOU,2026-03-28T21:19:30.399Z,false
45,RH Rooftop Restaurant at RH New York,8.6,3689,4.1,1108,4.4,2581,$$$,"American, Wine Bars","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJlSsnN_NZwokRD4CVvN0DPYE,2026-03-28T21:19:30.399Z,false
46,La Dong,9.5,3538,4.3,299,4.8,3239,,"Vietnamese, Cocktail Bars","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJzRCbxRVZwokRDAzYpDpbyG4,2026-03-28T21:19:30.399Z,false
47,Blue Willow 夜来湘,8.8,3478,4.4,1527,4.4,1951,$$,Szechuan,"New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJDd3F0b1ZwokRhggZGhI4Ygg,2026-03-28T21:19:30.399Z,false
48,Kiki's,8.6,3453,4.1,998,4.4,2455,$$,"Greek, Mediterranean, Desserts","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJD-1a9ChawokRnTSi_Et62x4,2026-03-28T21:19:30.399Z,false
49,Thursday Kitchen,9.0,3292,4.4,1881,4.6,1411,$$,"Korean, New American, Tapas/Small Plates","New York, NY",https://www.google.com/maps/place/?q=place_id:ChIJVyFicJ1ZwokR2oIygOmovWw,2026-03-28T21:19:30.399Z,false
