Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Pink Mamma,9.4,48028,4.0,612,4.7,47416,,"Steakhouses, Barbeque, Italian","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJaYIUUk9u5kcRfAhRNL_ZJgw,2026-03-28T21:29:03.431Z,false
2,Bouillon Chartier,8.2,32599,3.4,1144,4.1,31455,,French,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJ4xutfT5u5kcRaJn2NkiOhPU,2026-03-28T21:29:03.431Z,false
3,Chouchou,9.4,23568,3.8,69,4.7,23499,,"International, Vegetarian, Oriental","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJHwzjqZJv5kcRCir2RjPAaKE,2026-03-28T21:29:03.431Z,false
4,Au Pied de Cochon,8.8,22654,3.3,442,4.4,22212,,"Seafood, Brasseries","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJQQtKZyJu5kcRhXhHvOUt3To,2026-03-28T21:29:03.431Z,false
5,Ober Mamma,9.4,20429,4.3,356,4.7,20073,,"Pizza, Italian, Cocktail Bars","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJ9wPDGP1t5kcRuU-2tWgnWOQ,2026-03-28T21:29:03.431Z,false
6,Angelina,8.5,19962,4.0,1731,4.3,18231,,"Breakfast & Brunch, Tea Rooms, Patisserie/Cake Shop","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJWVhEdi5u5kcRRl0Vdpqt7RI,2026-03-28T21:29:03.431Z,false
7,L'As du Fallafel,8.6,16341,4.3,2185,4.3,14156,,"Kosher, Sandwiches, Falafel","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJL5QZXQJu5kcRwsTfM6YEA3E,2026-03-28T21:29:03.431Z,false
8,Le Ju',9.6,13231,3.5,27,4.8,13204,,Brasseries,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJ62uOOx1u5kcRhQssBujerII,2026-03-28T21:29:03.431Z,false
9,Sphère,9.6,13085,4.5,46,4.8,13039,,"Creperies, Gluten-Free, Patisserie/Cake Shop","Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJR4kFR0xv5kcR-x6duNRh3uE,2026-03-28T21:29:03.431Z,false
10,Les Antiquaires,9.2,10751,4.4,558,4.6,10193,,Bistros,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJ6ZOtmylu5kcRzJA4aL1ZYLI,2026-03-28T21:29:03.431Z,false
11,Le Relais de l’Entrecôte,8.4,9388,4.0,631,4.2,8757,,Steakhouses,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJqeYv3MJv5kcR2PpHs5RdJEg,2026-03-28T21:29:03.431Z,false
12,Le Relais de l'Entrecôte,8.4,8621,4.0,603,4.2,8018,,Steakhouses,"Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJzaRYiNdx5kcRlxQ89kuogt0,2026-03-28T21:29:03.431Z,false
