Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Tonnarello,9.4,103227,4.2,608,4.7,102619,,"Desserts, Roman, Beer Bar","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJVTkQgThgLxMRWM0saoiZzkA,2026-03-28T21:31:34.965Z,false
2,Osteria Da Fortunata,8.8,31303,4.0,1217,4.4,30086,,"Roman, Trattorie","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJJ_LhjUVgLxMRiRPTJRtTk-M,2026-03-28T21:31:34.965Z,false
3,Cantina e Cucina,9.2,17808,4.5,789,4.6,17019,,"Cafeteria, Pizza, Cocktail Bars","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJn6LUaEVgLxMRkWfUcTX4bFM,2026-03-28T21:31:34.965Z,false
4,Achille Al Pantheon di Habana,9.4,15918,3.8,57,4.7,15861,,"Sports Bars, Italian","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJH_6y91FgLxMRINAvgjdW93I,2026-03-28T21:31:34.965Z,false
5,Pizzarium Gabriele Bonci,8.2,14478,4.2,632,4.1,13846,,Pizza,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJr76feHtgLxMRSpUk8Ed4h24,2026-03-28T21:31:34.965Z,false
6,Trattoria Vecchia Roma,9.0,14215,4.2,298,4.5,13917,,"Roman, Trattorie, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ_Zz0irxhLxMRCndXjNM_F9s,2026-03-28T21:31:34.965Z,false
7,Ristorante Pancrazio dal 1922,9.4,13818,,,4.7,13818,,Italian Restaurant,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJxYLqXE9gLxMRMiEB2ESvqsw,2026-03-28T21:31:34.965Z,false
8,Sant' Eustachio Il Caffè,8.2,12919,4.1,411,4.1,12508,,"Cafes, Coffee Roasteries","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJF4C_0k9gLxMR2LL_-I4HSWU,2026-03-28T21:31:34.965Z,false
9,Da Baffetto,8.2,10737,3.4,264,4.1,10473,,"Pizza, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJs1VwIkVgLxMRNRizMrFlqKg,2026-03-28T21:31:34.965Z,false
10,Da Enzo al 29,8.6,10112,4.4,525,4.3,9587,,Roman,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJfy613ThgLxMR-Kr1iDROgrU,2026-03-28T21:31:34.965Z,false
11,Dar Poeta,8.6,9965,4.4,497,4.3,9468,,"Pizza, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJx8M3PkdgLxMRDsbhY30RmRc,2026-03-28T21:31:34.965Z,false
12,Pastasciutta,9.4,9943,4.5,219,4.7,9724,,"Pasta Shops, Fast Food","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJvXHn32ZgLxMRm_G_okClNeE,2026-03-28T21:31:34.965Z,false
13,Iari The Vino,9.4,9918,4.5,134,4.7,9784,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJQdzerLZhLxMRUD0OryD6mtY,2026-03-28T21:31:34.965Z,false
14,La Base Ristorante,8.4,9634,3.2,103,4.2,9531,,"Pubs, Steakhouses, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJle1HXrFhLxMRFBywXR6L49g,2026-03-28T21:31:34.965Z,false
15,Benso 215,9.4,9626,3.9,34,4.7,9592,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJtykIBLFhLxMRDFVeTc6z4qU,2026-03-28T21:31:34.965Z,false
16,Grazia & Graziella,9.2,9493,4.3,353,4.6,9140,,"Roman, Trattorie, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ1yxthDhgLxMRKVd01l9SSc4,2026-03-28T21:31:34.965Z,false
17,Mimì e Cocò,9.4,9490,4.5,249,4.7,9241,,"Italian, Wine Bars, Barbeque","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJw55QaUVgLxMRjlJwxomMeVM,2026-03-28T21:31:34.965Z,false
18,Felice a Testaccio | ROMA,8.6,8918,,,4.3,8918,,Italian Restaurant,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ1_AwEC5gLxMRLFf8-EiTRm0,2026-03-28T21:31:34.965Z,false
19,Alla Rampa,9.0,8810,3.3,109,4.5,8701,,Roman,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJUbjj0FRgLxMRKaiuet9q3ss,2026-03-28T21:31:34.965Z,false
20,Pane e Salame,9.6,8566,4.9,369,4.8,8197,,"Wine Bars, Sandwiches, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJV_Yr41JgLxMRQZaiulxyYN4,2026-03-28T21:31:34.965Z,false
21,La locanda del tempio,9.2,8243,4.1,45,4.6,8198,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ8aBMQ1JgLxMRKQN4KV6L9Hw,2026-03-28T21:31:34.965Z,false
22,That's Amore,8.8,8157,4.3,746,4.4,7411,,"Italian, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJMwqakKxhLxMRpQzZpFKZiT0,2026-03-28T21:31:34.965Z,false
23,Piccolo Buco,9.0,7860,4.4,281,4.5,7579,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ42GGxaxhLxMR_KbsMktBF4I,2026-03-28T21:31:34.965Z,false
24,Vattani Elegant Italian Restaurant & Cocktail Bar,9.6,7729,,,4.8,7729,,"Italian Restaurant, Cocktail Bar, Seafood Restaurant","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJUXh726VhLxMRM-qBIMBVABM,2026-03-28T21:31:34.965Z,false
25,Pasta Chef,9.4,7011,4.6,234,4.7,6777,,"Italian, Fast Food","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJiYRufrFhLxMRtpOEfvhb2zM,2026-03-28T21:31:34.965Z,false
26,Roscioli,8.6,6614,4.3,500,4.3,6114,,"Salumerie, Italian","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ4T6-zEhgLxMRSa1VL3N0DyY,2026-03-28T21:31:34.965Z,false
27,Rifugio Romano,9.0,6395,4.3,205,4.5,6190,,"Pizza, Italian, Vegan","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ79G3F6dhLxMRlfoZHnFBkIE,2026-03-28T21:31:34.965Z,false
28,Emma Pizzeria,8.4,6336,4.1,249,4.2,6087,,"Pizza, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJidqXKE9gLxMRoPu1i7w_aOs,2026-03-28T21:31:34.965Z,false
29,Al Forno della Soffitta,9.2,6150,4.6,300,4.6,5850,,"Pizza, Napoletana, Roman","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJI7fvHQlhLxMR0oLqTmLV938,2026-03-28T21:31:34.965Z,false
30,Alfredo alla Scrofa,7.8,6136,3.3,232,3.9,5904,,"Italian, Mediterranean, Seafood","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJ-b39-1BgLxMRnNBqVpydjY8,2026-03-28T21:31:34.965Z,false
31,Taverna del Seminario,8.6,5980,4.2,78,4.3,5902,,"Roman, Wine Bars, Pizza","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJOdhk_FFgLxMRLX1j6m7UPB8,2026-03-28T21:31:34.965Z,false
32,Ce Stamo A Pensà,9.4,5963,4.6,76,4.7,5887,,"Bakeries, Sandwiches, Napoletana","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJOcwACbFhLxMRgaD05kPoLWw,2026-03-28T21:31:34.965Z,false
33,La Casa del Tazza d'Oro,8.8,5761,4.5,370,4.4,5391,,"Coffee & Tea, Cafes, Coffee Roasteries","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJxY4y7lFgLxMRTCTRu-sodxk,2026-03-28T21:31:34.965Z,false
34,Ai Tre Scalini,9.0,5354,4.4,491,4.5,4863,,"Wine Bars, Italian, Pubs","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJpWSB8rFhLxMRjZpGcb7UB2w,2026-03-28T21:31:34.965Z,false
35,CiPASSO,9.6,4893,4.8,63,4.8,4830,,Wine Bars,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJkWBBl0JhLxMR-icOTPPMrjE,2026-03-28T21:31:34.965Z,false
36,Cacio e Pepe,8.4,4835,4.3,203,4.2,4632,,Italian,"Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJJ9b6F5BfLxMRbOBDhWehoNk,2026-03-28T21:31:34.965Z,false
37,Zuma Rome,8.8,4805,3.8,44,4.4,4761,,"Japanese, Seafood, Lounges","Rome, Italy",https://www.google.com/maps/place/?q=place_id:ChIJVby3HVRgLxMRCT2x_x0Qa24,2026-03-28T21:31:34.965Z,false
