Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Mi Tierra Cafe y Panaderia,8.6,28534,3.7,3948,4.4,24586,$$,"Mexican, Bakeries, Tex-Mex","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJu4MuskxfXIYRDqpQCRaNVXc,2026-03-28T21:22:49.182Z,false
2,Chama Gaúcha Brazilian Steakhouse - San Antonio,9.8,14871,,,4.9,14871,,"Brazilian Restaurant, Steak House","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJJejjdR1iXIYR-9OCMFWKP6I,2026-03-28T21:22:49.182Z,false
3,Casa Rio,7.6,12942,3.0,2338,4.0,10604,$$,"Mexican, Tex-Mex, Venues & Event Spaces","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJXa2QEqtYXIYRXoeUd4_U3CU,2026-03-28T21:22:49.182Z,false
4,Pappadeaux Seafood Kitchen,8.9,12442,4.0,1607,4.5,10835,$$$,"Seafood, Cajun/Creole","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJYSzf5ABgXIYRJoQwCpReeOA,2026-03-28T21:22:49.182Z,false
5,Rainforest Cafe,8.1,12323,2.5,1014,4.2,11309,$$,"American, Seafood, Steakhouses","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ4VJcSatYXIYRT2pFAhuBxjU,2026-03-28T21:22:49.182Z,false
6,Rosario's ComidaMex & Bar,8.3,11882,3.9,4113,4.3,7769,$$,"Mexican, Tex-Mex, Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJEdIctahYXIYRXiT7Ak7uKYQ,2026-03-28T21:22:49.182Z,false
7,Brasão Brazilian Steakhouse,9.8,10998,4.7,1139,4.9,9859,$$$,"Steakhouses, Brazilian","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ9Z3wSN5lXIYRMFqUs9eHO0E,2026-03-28T21:22:49.182Z,false
8,Taquitos West Ave,9.2,10962,4.4,997,4.6,9965,$,Mexican,"San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJuUoEfrNfXIYR51l-QIqUFgA,2026-03-28T21:22:49.182Z,false
9,"Boudro's, a Texas Bistro",8.7,10210,4.1,3649,4.5,6561,$$,"New American, Seafood, Cocktail Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJdRSMP6tYXIYR5oaGtLlwbEs,2026-03-28T21:22:49.182Z,false
10,Fogo de Chão Brazilian Steakhouse,9.1,10179,4.1,1229,4.6,8950,$$$,"Brazilian, Steakhouses","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ30scKwD2XIYR5NOWgO1iRYQ,2026-03-28T21:22:49.182Z,false
11,Domingo,9.3,9762,4.0,881,4.7,8881,$$,"Cocktail Bars, Breakfast & Brunch, Mexican","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJrTXozqxYXIYRljiBxEz-uII,2026-03-28T21:22:49.182Z,false
12,Max and Louie's New York Diner,8.9,9611,4.3,3216,4.5,6395,$$,"Diners, Breakfast & Brunch, American","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJdRz2FtVhXIYRwkLcVLUn-6g,2026-03-28T21:22:49.182Z,false
13,La Panadería Bakery Café,9.3,9344,4.6,2880,4.7,6464,$$,"Breakfast & Brunch, Bakeries, Cafes","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJr5bioFRfXIYRS_8NX9QuLnc,2026-03-28T21:22:49.182Z,false
14,The Esquire Tavern,8.6,8775,4.1,3594,4.4,5181,$$,"Lounges, Burgers, American","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJSzUPzqxYXIYRVJL3H4NAr14,2026-03-28T21:22:49.182Z,false
15,Chart House,8.0,8251,3.2,1589,4.2,6662,$$$,"Seafood, New American, Cocktail Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJF8VS7P_1XIYRoIw2IqkmC90,2026-03-28T21:22:49.182Z,false
16,Chris Madrid's,8.9,8104,4.0,1210,4.5,6894,$$,"Burgers, Venues & Event Spaces, Food Trucks","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ2QQjnwxfXIYRe1f2EB5sCzE,2026-03-28T21:22:49.182Z,false
17,Gino's Deli Stop N Buy ,9.6,7475,4.8,2560,4.8,4915,$$,"Delis, Cheesesteaks, Sandwiches","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJP29EgyZhXIYRux5isXY9hzk,2026-03-28T21:22:49.182Z,false
18,Pollos Asados Los Norteños,9.4,7468,4.7,1017,4.7,6451,$$,"Mexican, Spanish, Latin American","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJwZuUv832XIYRsSnxr6fYAX4,2026-03-28T21:22:49.182Z,false
19,Saltgrass Steak House,8.2,7296,3.5,1254,4.2,6042,$$$,"Steakhouses, Seafood, American","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJq1Co16F4XIYRFVTSc1qyx9g,2026-03-28T21:22:49.182Z,false
20,The Cove,8.8,7278,4.1,1602,4.5,5676,$$,"Vegetarian, Burgers, Gluten-Free","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJLz6YH0RfXIYRA_mZjHZfq2U,2026-03-28T21:22:49.182Z,false
21,Paesanos Riverwalk,8.6,6910,3.5,1432,4.5,5478,$$$,"Italian, Wine Bars, Pizza","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJw2ODlqxYXIYR5xFcNubeg6I,2026-03-28T21:22:49.182Z,false
22,La Panadería Bakery Café,9.1,6887,4.4,1618,4.6,5269,$$,"Bakeries, Breakfast & Brunch, Cafes","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJJY1P2Uv1XIYRMS0W2taeHaE,2026-03-28T21:22:49.182Z,false
23,Pasha Mediterranean Grill,8.7,6539,4.1,1153,4.4,5386,$$,Mediterranean,"San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJi2iRK7FgXIYR08zSa7vPsVw,2026-03-28T21:22:49.182Z,false
24,The Smoke Shack,8.6,6481,4.0,1696,4.4,4785,$$,"Southern, Barbeque, Sandwiches","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJmxQEoBL1XIYRnVGqUIbK0OY,2026-03-28T21:22:49.182Z,false
25,Down On Grayson,8.6,6188,3.9,1354,4.4,4834,$$,"New American, Beer Bar, Wine Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJeR2k-fP1XIYR9ZEz1asIiGM,2026-03-28T21:22:49.182Z,false
26,Southerleigh Fine Food & Brewery,8.8,6089,4.1,1837,4.5,4252,$$,"Breweries, New American, Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJszniNvT1XIYRztK4HoRRv4I,2026-03-28T21:22:49.182Z,false
27,Dough Pizzeria Napoletana,8.7,5765,4.1,2022,4.5,3743,$$,"Pizza, Italian, Wine Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJeZeMKHVgXIYRMjr1YiD6diY,2026-03-28T21:22:49.182Z,false
28,La Fogata Mexican Cuisine,8.1,5663,3.2,957,4.2,4706,$$,"Mexican, Seafood","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJa5N16jZeXIYRSM71ZFnzfhk,2026-03-28T21:22:49.182Z,false
29,Yard House,8.6,5613,3.9,1038,4.4,4575,$$,"New American, Bars, Vegetarian","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ0yytnapYXIYROYysCM8ylIE,2026-03-28T21:22:49.182Z,false
30,Tycoon Flats - N St Marys Strip,8.8,5592,4.2,1415,4.5,4177,$$,"Burgers, Beer Gardens, American","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ2ZwD0GFfXIYRywb44id8chs,2026-03-28T21:22:49.182Z,false
31,Ida Claire,8.9,5551,4.3,1702,4.5,3849,$$,Southern,"San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJG0SZgGP1XIYRk4TO6_YHPtg,2026-03-28T21:22:49.182Z,false
32,Pinkerton's Barbecue,9.1,5166,4.4,1180,4.6,3986,$$,Barbeque,"San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJOWr_sr9fXIYRKTlFGvZHweg,2026-03-28T21:22:49.182Z,false
33,Smashin Crab,8.7,5129,4.2,1287,4.4,3842,$$,"Cajun/Creole, Seafood","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJFw5WG-tnXIYR081ErrSY9aQ,2026-03-28T21:22:49.182Z,false
34,Acenar Mexican Restaurant,8.1,5106,3.7,1647,4.2,3459,$$,"Mexican, Bars, Tex-Mex","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ24-JI1NfXIYRD6NDL7fWIsE,2026-03-28T21:22:49.182Z,false
35,Paloma Blanca Mexican Cuisine,8.6,5095,3.9,1258,4.4,3837,$$,"Mexican, Breakfast & Brunch, Caterers","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJgzjFa3P1XIYRxMjBPN1YmlY,2026-03-28T21:22:49.182Z,false
36,Torchy's Tacos,8.5,5036,3.8,1082,4.4,3954,$$,"Tacos, Tex-Mex","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJY-92MEL1XIYRS04ASaSmO_o,2026-03-28T21:22:49.182Z,false
37,Mare E Monte Italian Restaurant (San Antonio),9.8,4427,4.7,412,4.9,4015,$$,"Italian, Seafood, Salad","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJz-DhrC5nXIYR-eAZIqN0Cjo,2026-03-28T21:22:49.182Z,false
38,Stout’s Signature,9.8,4347,4.4,114,4.9,4233,,"American, Cocktail Bars, Wine Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJRz3ZEaJfXIYRPScqUPndjzQ,2026-03-28T21:22:49.182Z,false
39,Dick's Last Resort - San Antonio,8.0,4252,3.2,922,4.2,3330,$$,"Bars, American, Seafood","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJ8fY2VatYXIYRirkhjt69YPs,2026-03-28T21:22:49.182Z,false
40,Mina & Dimi's Greek House,9.5,4149,4.6,905,4.8,3244,$$,"Greek, Mediterranean","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJqdhydEJbXIYRfVWoSdbnJ-g,2026-03-28T21:22:49.182Z,false
41,The Hoppy Monk,8.7,4145,4.0,1139,4.5,3006,$$,"Gastropubs, Beer Bar, Cocktail Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJt-ifFgKKXIYR8Z2LD4bFrsw,2026-03-28T21:22:49.182Z,false
42,NOLA Brunch & Beignets,8.7,4111,4.2,1314,4.4,2797,$$,"Breakfast & Brunch, Cajun/Creole, Desserts","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJqwuNwmFfXIYRgIqnSM7xSAs,2026-03-28T21:22:49.182Z,false
43,The Big Bib BBQ,8.5,3974,4.1,1308,4.3,2666,$$,"Barbeque, Sandwiches","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJpcuSH7_0XIYRycxNxeA-gcI,2026-03-28T21:22:49.182Z,false
44,Bubba Gump Shrimp Co.,8.2,3943,3.1,358,4.2,3585,$$,"Southern, Seafood, Cocktail Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJlUh2Z9ZfXIYRlVBho92qz5U,2026-03-28T21:22:49.182Z,false
45,Hot Joy,7.9,3893,3.4,1285,4.2,2608,$$,"Asian Fusion, Cocktail Bars, Tiki Bars","San Antonio, TX",https://www.google.com/maps/place/?q=place_id:ChIJcYay9aVYXIYRrvzyrFV3ZaU,2026-03-28T21:22:49.182Z,false
