Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Cafe Coyote,8.2,22248,3.8,8564,4.3,13684,$$,"Mexican, Venues & Event Spaces, Cocktail Bars","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJaSX9Z96q3oAR90ucsDUDL5w,2026-03-28T21:18:58.899Z,false
2,Steamy Piggy,9.2,17279,4.4,7858,4.8,9421,$$,"Chinese, Asian Fusion, Ramen","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJATNlIpT_24ARggrmC5f1HPE,2026-03-28T21:18:58.899Z,false
3,Fogo de Chão Brazilian Steakhouse,8.5,12526,4.1,5338,4.4,7188,$$$,"Brazilian, Steakhouses, Cocktail Bars","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJzy1XrFlT2YAR8HVKj-WGP08,2026-03-28T21:18:58.899Z,false
4,The Crack Shack,8.6,12083,4.1,5802,4.5,6281,$$,"New American, Sandwiches, Chicken Shop","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJnb7XfLNU2YARO7Ht74hL2xU,2026-03-28T21:18:58.899Z,false
5,The Fish Market - San Diego,8.4,11321,3.7,3486,4.4,7835,$$,Seafood,"San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJ3cmLblWr3oARJFTFAlrab8w,2026-03-28T21:18:58.899Z,false
6,Ironside Fish & Oyster,8.7,10996,4.2,6075,4.5,4921,$$,"Seafood, Live/Raw Food","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJPS6B761U2YARa3DpXVLayRk,2026-03-28T21:18:58.899Z,false
7,Duke's La Jolla,8.7,9450,4.1,3941,4.5,5509,$$,"New American, Breakfast & Brunch, Seafood","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJYURVavwD3IARIKGSrA7FhoU,2026-03-28T21:18:58.899Z,false
8,Coasterra,8.5,9241,4.0,4008,4.4,5233,$$$,"Mexican, Venues & Event Spaces","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJUyrzgUar3oARS0vU1_MTV7Y,2026-03-28T21:18:58.899Z,false
9,Rakiraki Ramen & Tsukemen,8.1,9224,3.8,5126,4.4,4098,$$,"Ramen, Sushi Bars","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJJ8YPDJT_24ARfMNJAeflIxA,2026-03-28T21:18:58.899Z,false
10,Werewolf,9.1,9031,4.5,5960,4.6,3071,$$,"Breakfast & Brunch, Karaoke, Cocktail Bars","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJN9NqzFlT2YARNbO8FwgBcB0,2026-03-28T21:18:58.899Z,false
11,Mitch's Seafood,8.9,8831,4.2,2900,4.6,5931,$$,"Seafood, Beer Bar, Southern","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJ3cvS6aOr3oAR0AQgiCvuPmU,2026-03-28T21:18:58.899Z,false
12,C Level,8.8,8743,4.3,5439,4.6,3304,$$,"New American, Seafood, Steakhouses","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJ6VN5EEGr3oARraHXh1nFwkc,2026-03-28T21:18:58.899Z,false
13,Benihana - San Diego,7.5,8713,3.1,3258,4.1,5455,$$$,"Sushi Bars, Teppanyaki, Steakhouses","San Diego, CA",https://www.google.com/maps/place/?q=place_id:ChIJzTKB6CVV2YARjTQtcAG3iWo,2026-03-28T21:18:58.899Z,false
