Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Fog Harbor Fish House,8.9,22656,4.4,12703,4.5,9953,$$,"Seafood, Wine Bars, Cocktail Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJHSGzi_yAhYARptfivXk-Qlo,2026-03-28T21:17:17.672Z,false
2,Brenda's French Soul Food,8.6,18996,4.2,12758,4.5,6238,$$$,"Breakfast & Brunch, Southern, Cajun/Creole","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJZ9s5SJeAhYARIX3Fxl6oj6c,2026-03-28T21:17:17.672Z,false
3,House of Prime Rib,8.8,17264,4.2,10094,4.7,7170,$$$$,"American, Steakhouses, Wine Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJg67caeqAhYAR2UQjKb1a8j4,2026-03-28T21:17:17.672Z,false
4,La Taqueria,8.7,12204,4.1,5095,4.5,7109,$$,Mexican,"San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJrTYB1UZ-j4ARdeRB5Wzp_CE,2026-03-28T21:17:17.672Z,false
5,El Farolito,8.7,11327,4.2,5727,4.5,5600,$$,Mexican,"San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJ5WRITUd-j4ARIcl68TeeR8M,2026-03-28T21:17:17.672Z,false
6,Zazie,8.6,9028,4.2,5536,4.5,3492,$$$,"Breakfast & Brunch, French, Wine Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJgSeZU1SHhYARQU-BswtkEiY,2026-03-28T21:17:17.672Z,false
7,Marufuku Ramen - San Francisco,9.0,8913,4.5,5949,4.5,2964,$$,"Ramen, Noodles","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJsYdOvCx-j4ARJItjWBikyOk,2026-03-28T21:17:17.672Z,false
8,The Cheesecake Factory,6.8,8745,3.0,4215,3.8,4530,$$,"Desserts, American","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJG-PkK4-AhYARxW6vm0X9kCQ,2026-03-28T21:17:17.672Z,false
9,Nopa,8.6,8714,4.2,5713,4.5,3001,$$$,"New American, Desserts, Cocktail Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJ_dQjyK-AhYARBc9DFlxcclg,2026-03-28T21:17:17.672Z,false
10,Wayfare Tavern,8.3,7690,3.9,4745,4.5,2945,$$$,American,"San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJE5T3YoqAhYARtxUohSbFVDc,2026-03-28T21:17:17.672Z,false
11,The Grove Restaurant & Bar,8.4,7333,3.8,2483,4.4,4850,$$,"New American, Comfort Food, Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJiZyN7IeAhYARnCn-G6GH73Q,2026-03-28T21:17:17.672Z,false
12,Beretta Valencia,8.4,6878,4.0,4323,4.5,2555,$$,"Italian, Pizza, Breakfast & Brunch","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJHeoUcz9-j4AR9BGHeYE4w3o,2026-03-28T21:17:17.672Z,false
13,John's Grill,8.4,6656,3.7,2003,4.4,4653,$$$,"Steakhouses, Seafood","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJe9MuVY-AhYARb8Su4vUOneY,2026-03-28T21:17:17.672Z,false
14,Original Joe's,8.7,5988,4.1,2592,4.5,3396,$$$,"Italian, Steakhouses, Breakfast & Brunch","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJfSGLEfGAhYARC8Egs7nINzk,2026-03-28T21:17:17.672Z,false
15,The Codmother Fish & Chips,8.9,5825,4.4,3514,4.5,2311,$$,"British, Fish & Chips, Seafood","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJjeTkweOAhYARBVgQR8KMElA,2026-03-28T21:17:17.672Z,false
16,Cha Cha Cha,8.2,5751,3.9,3644,4.4,2107,$$,"Caribbean, Cuban, Tapas Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJCRye1FOHhYARZNi7x7aio5c,2026-03-28T21:17:17.672Z,false
17,The Bird,8.8,5563,4.2,2533,4.6,3030,$$,"Chicken Shop, Sandwiches","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJEwcBSn2AhYARc5-ld-6einU,2026-03-28T21:17:17.672Z,false
18,Absinthe Brasserie & Bar,8.1,5373,3.9,3577,4.4,1796,$$$,"French, Beer Bar, Cocktail Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJ1T-IlZiAhYAR5m-Mps4qLFk,2026-03-28T21:17:17.672Z,false
19,Suppenküche,8.5,5369,4.1,3420,4.5,1949,$$,"German, Pretzels, Beer, Wine & Spirits","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJ8fbCTqKAhYAR9Uu7AyP5FyE,2026-03-28T21:17:17.672Z,false
20,Limón,7.9,5043,3.7,2974,4.3,2069,$$,"Peruvian, Tapas/Small Plates","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJkz3yWSJ-j4AR5EejAF8BaLU,2026-03-28T21:17:17.672Z,false
21,Marlowe,8.2,4860,4.0,2936,4.3,1924,$$$,"Diners, Breakfast & Brunch, Cocktail Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJK08gKtR_j4ARKyo5suJ6o2I,2026-03-28T21:17:17.672Z,false
22,The Front Porch,8.1,4663,3.9,3369,4.4,1294,$$,"Southern, Cajun/Creole, American","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJn8Ixw0J-j4ARb073TlyhmZw,2026-03-28T21:17:17.672Z,false
23,Starbelly,8.1,4543,3.8,2461,4.4,2082,$$,"New American, Breakfast & Brunch, Cocktail Bars","San Francisco, CA",https://www.google.com/maps/place/?q=place_id:ChIJs6YBYhx-j4AR4LUJq9SFQt0,2026-03-28T21:17:17.672Z,false
