Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Myeongdong Kyoja Main Restaurant,8.4,14289,,,4.2,14289,,"Dumpling Restaurant, Korean Restaurant","Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJW7FBDfCifDURHTpisLbVUH0,2026-03-28T21:29:31.581Z,true
2,Tosokchon Samgyetang,8.4,11762,,,4.2,11762,,Korean Restaurant,"Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJb5OOGL6ifDURU29ID3t8aOA,2026-03-28T21:29:31.581Z,true
3,Woo Lae Oak,8.4,6423,,,4.2,6423,,Korean Restaurant,"Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJ95h3lR-jfDURkB9hKZltPXM,2026-03-28T21:29:31.581Z,true
4,Kyochon Chicken Dongdaemun 1st Branch,9.0,4182,,,4.5,4182,,Meal Takeaway,"Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJA_TdWTqjfDURc-LwCzoHRUQ,2026-03-28T21:29:31.581Z,true
5,Kampungku Restaurant,9.2,3130,,,4.6,3130,,Halal Restaurant,"Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJe6zftTajfDURivWXLZMCTjk,2026-03-28T21:29:31.581Z,true
6,Hwangsaengga Kalguksu,8.4,2917,,,4.2,2917,,"Noodle Shop, Korean Restaurant","Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJ13yZpsaifDURUpD__4MZcT4,2026-03-28T21:29:31.581Z,true
7,bogwangjung,9.8,2755,,,4.9,2755,,"Korean Barbecue Restaurant, Korean Restaurant","Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJnbqVZSSjfDURXy6xhCsHEN8,2026-03-28T21:29:31.581Z,true
8,Petra,9.2,2162,,,4.6,2162,,"Halal Restaurant, Middle Eastern Restaurant","Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJZXyrwjeifDUR95WK4e_vnws,2026-03-28T21:29:31.581Z,true
9,Jungsik Seoul,8.8,1602,,,4.4,1602,,Korean Restaurant,"Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJLwsYxYijfDURiJD-QZw6MYU,2026-03-28T21:29:31.581Z,true
10,"Brera Restaurant, Seoul",8.8,1546,,,4.4,1546,,Italian Restaurant,"Seoul, South Korea",https://www.google.com/maps/place/?q=place_id:ChIJ1QsExQejfDURYKO8kssfu9M,2026-03-28T21:29:31.581Z,true
