Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Old Airport Road Food Centre,8.6,12640,4.3,74,4.3,12566,$,"Hawker Centre, Food Court",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJWzTvXEcY2jERvSzB8XNKKCk,2026-03-28T21:30:11.066Z,false
2,Swee Choon Tim Sum,8.6,11571,4.0,91,4.3,11480,$,Dim Sum,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJv1DkBMgZ2jERft-n2ibNvh0,2026-03-28T21:30:11.066Z,false
3,Jumbo Seafood,8.6,9946,3.6,87,4.3,9859,$$$,Seafood,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ5T8-VXUZ2jERMpGzIj6L2ts,2026-03-28T21:30:11.066Z,false
4,Zam Zam Restaurant,8.4,9655,4.0,114,4.2,9541,$,"Indian, Halal",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJbT_FF6UZ2jERsNXpMaOUfzw,2026-03-28T21:30:11.066Z,false
5,Song Fa Bak Kut Teh,8.8,8100,4.2,164,4.4,7936,$,"Singaporean, Chinese",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJP1jDgAoZ2jER9XCcxNoXvcc,2026-03-28T21:30:11.066Z,false
6,Komala Vilas Restaurant,8.4,7053,4.2,80,4.2,6973,$,"Indian, Vegetarian",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJuey1wbgZ2jERuXx_dBjtBUk,2026-03-28T21:30:11.066Z,false
7,Tian Tian Hainanese Chicken Rice,7.8,6662,3.9,498,3.9,6164,$,"Hainan, Chicken Shop",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ2ZDgUg0Z2jERXUJpEsR0Oto,2026-03-28T21:30:11.066Z,false
8,Satay By The Bay,8.0,6633,3.9,58,4.0,6575,$,"Seafood, Barbeque",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJp6HV3hwZ2jERvuwjdrUPNRg,2026-03-28T21:30:11.066Z,false
9,Liao Fan Hawker Chan,7.6,5233,3.8,169,3.8,5064,$,"Noodles, Chicken Shop",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ2eV4E3MZ2jERSJO0koIx8GY,2026-03-28T21:30:11.066Z,false
10,Liao Fan Hawker Chan,7.6,5149,4.1,85,3.8,5064,$,"Cantonese, Noodles",Singapore,https://www.google.com/maps/place/?q=place_id:ChIJ2eV4E3MZ2jERSJO0koIx8GY,2026-03-28T21:30:11.066Z,false
11,iO Italian Osteria - HillV2 (Singapore),9.2,5082,,,4.6,5082,,Italian Restaurant,Singapore,https://www.google.com/maps/place/?q=place_id:ChIJjYlQqlMQ2jERNTV5U98WYMY,2026-03-28T21:30:11.066Z,false
