Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Pai Northern Thai Kitchen,9.1,18440,4.4,3900,4.6,14540,$$,Thai,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ1ZGZKNk0K4gRaouNzuptWV8,2026-03-28T21:32:43.212Z,false
2,JOEY Eaton Centre,9.3,12840,3.7,592,4.7,12248,$$,"Canadian (New), Lounges, Steakhouses","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJtY7dIMs0K4gREEfQx6rkc-A,2026-03-28T21:32:43.212Z,false
3,Fox on John,9.2,11722,3.5,246,4.6,11476,$$,"Bars, British, Breakfast & Brunch","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJe666YNA0K4gRgPfziT7HLp0,2026-03-28T21:32:43.212Z,false
4,JOEY King St,9.8,11549,4.3,50,4.9,11499,,"Wine Bars, Steakhouses, Cocktail Bars","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ73LbbhTL1IkRo0jIEIs3HaI,2026-03-28T21:32:43.212Z,false
5,Scaddabush Italian Kitchen & Bar Front Street,9.2,11101,,,4.6,11101,,"Italian Restaurant, Pizza Restaurant, Cocktail Bar","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ9RTjVNE0K4gR23sE8yg53-o,2026-03-28T21:32:43.212Z,false
6,Earls Kitchen + Bar,8.9,9809,3.6,562,4.5,9247,$$,"Canadian (New), Cocktail Bars, Seafood","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJQY_nP9I0K4gRj0Fo9reXGQ4,2026-03-28T21:32:43.212Z,false
7,360 The Restaurant at the CN Tower,8.2,8511,,,4.1,8511,,,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJS6TSi9Y0K4gRhnLajfL7RVY,2026-03-28T21:32:43.212Z,false
8,The Loose Moose,8.5,8108,3.5,528,4.3,7580,$$,"Sports Bars, Gastropubs, Canadian (New)","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJWYMdhdM0K4gRbMQqRvZfb3c,2026-03-28T21:32:43.212Z,false
9,Kellys Landing,8.7,7522,3.5,260,4.4,7262,$$,"Sports Bars, American","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJraUHetM0K4gR3VS5TMC86_s,2026-03-28T21:32:43.212Z,false
10,Gusto 101,8.5,6739,4.0,1262,4.3,5477,$$,Italian,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJm5_QX940K4gRdtM5bxGf3g4,2026-03-28T21:32:43.212Z,false
11,Cafe Landwer,8.8,6492,4.2,693,4.4,5799,$$,"Cafes, Breakfast & Brunch, Mediterranean","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ9dkxN7o1K4gR0iGWiGqRhig,2026-03-28T21:32:43.212Z,false
12,Khao San Road,8.5,5816,3.9,1832,4.4,3984,$$,Thai,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJsYytfdo0K4gRyuS_nZmdpIQ,2026-03-28T21:32:43.212Z,false
13,KŌST,8.6,5762,,,4.3,5762,,"Californian Restaurant, American Restaurant","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJzVkW-Nk0K4gRd4dHDvA6ekU,2026-03-28T21:32:43.212Z,false
14,Black+Blue Toronto,9.4,5416,4.0,107,4.7,5309,,"Steakhouses, Cocktail Bars","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ243-C381K4gRHMKWCGU86iM,2026-03-28T21:32:43.212Z,false
15,Ramen Isshin,9.1,5342,4.4,891,4.6,4451,$$,Ramen,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJN8T23es0K4gRZXVo0Gb3Fag,2026-03-28T21:32:43.212Z,false
16,Seven Lives Tacos y Mariscos,9.1,5331,4.4,1553,4.6,3778,$,Mexican,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJIx7XScI0K4gRYemlb9GphUI,2026-03-28T21:32:43.212Z,false
17,Wilbur Mexicana,9.1,5304,4.1,645,4.6,4659,$$,Mexican,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJW9BCld40K4gRGS8xUsds3-s,2026-03-28T21:32:43.212Z,false
18,King Taps,8.5,5227,3.9,480,4.3,4747,$$,"Canadian (New), Cocktail Bars","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ9y-dotI0K4gR8C-CfDq_pm8,2026-03-28T21:32:43.212Z,false
19,Wvrst,8.8,5137,4.0,857,4.5,4280,$$,"German, Beer Bar","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJu6NKUN40K4gRC70ylqfYCUI,2026-03-28T21:32:43.212Z,false
20,Insomnia Restaurant & Lounge,8.7,4993,4.1,1067,4.4,3926,$$,"Lounges, Breakfast & Brunch, Comfort Food","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJdccXyZM0K4gRu9mnZpTFdtY,2026-03-28T21:32:43.212Z,false
21,Oretta,8.3,4908,3.5,407,4.2,4501,$$$,Italian,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJe56zxIw1K4gRtP5JWO98q9Y,2026-03-28T21:32:43.212Z,false
22,Sugo,9.4,4885,4.5,363,4.7,4522,$$,"Italian, Sandwiches, Cocktail Bars","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJQ3VroEY0K4gRu8_7pUQIEfg,2026-03-28T21:32:43.212Z,false
23,Richmond Station,9.3,4655,4.4,977,4.7,3678,$$$,Canadian (New),"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJJZP2IzPL1IkRoIXM5dEE9ck,2026-03-28T21:32:43.212Z,false
24,Mildred's Temple Kitchen,8.6,4629,4.0,1156,4.4,3473,$$,"Breakfast & Brunch, Canadian (New)","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJI4DOYAE1K4gRrXtqciHmAlI,2026-03-28T21:32:43.212Z,false
25,Byblos,9.0,4615,4.4,985,4.5,3630,$$$$,"Mediterranean, Middle Eastern","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJna5xqdE0K4gRY2U5hw6ZXYI,2026-03-28T21:32:43.212Z,false
26,Juicy Dumpling,8.9,4594,4.3,720,4.5,3874,$,"Dim Sum, Dumplings","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJqwg8BAA1K4gRGVOVcxx71Kw,2026-03-28T21:32:43.212Z,false
27,Canoe,8.7,4561,4.1,796,4.4,3765,$$$$,Canadian (New),"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJKSp50NI0K4gR6C6L3yYqpYY,2026-03-28T21:32:43.212Z,false
28,Lee,8.8,4005,4.1,811,4.5,3194,$$$,Asian Fusion,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ_bdoUN40K4gRi4qwMVmMyBw,2026-03-28T21:32:43.212Z,false
29,The Carbon Bar,8.9,3988,3.9,440,4.5,3548,$$$,"Barbeque, Bars, American","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJv6F6Usw0K4gRQt20A8k3Jws,2026-03-28T21:32:43.212Z,false
30,Korean Village Restaurant,9.1,3934,4.0,483,4.6,3451,$$,Korean,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJFV_Jh400K4gRFvAtulga7us,2026-03-28T21:32:43.212Z,false
31,Rodney's Oyster House,9.1,3922,4.1,488,4.6,3434,$$$,Seafood,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ3av9_j7L1IkR-4usmJxvhyk,2026-03-28T21:32:43.212Z,false
32,Chubby's Jamaican Kitchen,8.8,3866,4.2,478,4.4,3388,$$,Caribbean,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJQ8ySZd40K4gRQfWr19HCZIw,2026-03-28T21:32:43.212Z,false
33,Banh Mi Boys,8.8,3709,4.2,1295,4.5,2414,$,"Vietnamese, Sandwiches","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJ_7hje9s0K4gRPxaia1MqSos,2026-03-28T21:32:43.212Z,false
34,Chop Steakhouse & Bar,9.8,3619,4.6,19,4.9,3600,,"Bars, Seafood, Steakhouses","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJpdjRDtI0K4gRGA6k5K-TH8E,2026-03-28T21:32:43.212Z,false
35,Olde Yorke,9.2,3606,4.4,382,4.6,3224,$$,"Seafood, Fish & Chips, British","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJZ-RK89zM1IkRgEbxv4h_hfM,2026-03-28T21:32:43.212Z,false
36,Earls Kitchen + Bar,9.6,3522,3.7,22,4.8,3500,,"Canadian (New), Cocktail Bars","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJi7GMscc1K4gR2zJh6SCEx7U,2026-03-28T21:32:43.212Z,false
37,Swatow Restaurant,8.3,3518,3.8,498,4.2,3020,$$,Chinese,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJxdcPkcM0K4gRtZB3BsjQutg,2026-03-28T21:32:43.212Z,false
38,The Burgernator,8.7,3518,4.0,390,4.4,3128,$$,Burgers,"Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJpy8FA8I0K4gRrnthsBbx544,2026-03-28T21:32:43.212Z,false
39,The Lakeview,7.8,3511,3.2,462,4.0,3049,$$,"Diners, Canadian (New)","Toronto, Canada",https://www.google.com/maps/place/?q=place_id:ChIJOWjDZfk0K4gRWXgticNi7OY,2026-03-28T21:32:43.212Z,false
