Rank,Restaurant,Score,Total Reviews,Yelp Rating,Yelp Reviews,Google Rating,Google Reviews,Price,Cuisine,City,Google Maps URL,Snapshot UTC,Google Only
1,Founding Farmers DC,8.5,40674,4.0,18315,4.5,22359,$$,"American, Coffee & Tea, Breakfast & Brunch","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJk58zcbq3t4kR9VDFZdcB5uE,2026-03-28T21:27:15.543Z,false
2,Old Ebbitt Grill,8.9,31291,4.2,11611,4.6,19680,$$,"Bars, American, Breakfast & Brunch","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJgRwXf723t4kRdfqt36VafUU,2026-03-28T21:27:15.543Z,false
3,Pisco y Nazca Ceviche Gastrobar,9.7,27659,4.6,2887,4.9,24772,$$,"Peruvian, Cocktail Bars","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJDc1TJ5q3t4kRQX8x6Pj4IlA,2026-03-28T21:27:15.543Z,false
4,Zaytinya,8.8,15978,4.2,6247,4.5,9731,$$$,"Greek, Turkish, Lebanese","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJ3_mSkpG3t4kRDEWpol01OrI,2026-03-28T21:27:15.543Z,false
5,The Hamilton,8.7,13885,3.9,3986,4.5,9899,$$,"Seafood, New American, Music Venues","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJ0zjVx5e3t4kRPiQqmswuh9c,2026-03-28T21:27:15.543Z,false
6,Le Diplomate,8.9,13577,4.3,5746,4.6,7831,$$$,"Brasseries, French, Breakfast & Brunch","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJgYIki-m3t4kRZImvuN_pp9Q,2026-03-28T21:27:15.543Z,false
7,Founding Farmers Fishers & Bakers,8.2,11744,3.9,5159,4.3,6585,$$,"New American, Breakfast & Brunch, Seafood","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJqfFEQ0y2t4kRJYcfZb70K24,2026-03-28T21:27:15.543Z,false
8,Founding Farmers & Distillers,8.3,10455,3.7,2787,4.3,7668,$$,"Breakfast & Brunch, American, Distilleries","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJJT-zpY23t4kRiVVfcI0BT8U,2026-03-28T21:27:15.543Z,false
9,Unconventional Diner,9.1,10377,4.4,3377,4.6,7000,$$,"Breakfast & Brunch, Venues & Event Spaces, Sandwiches","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJz3M3Se23t4kRk5q7sY9-ZUU,2026-03-28T21:27:15.543Z,false
10,Filomena Ristorante,8.9,9490,4.2,3806,4.6,5684,$$$,"Italian, Wine Bars, Diners","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJPTqF_Uu2t4kR9o9RyZkZPWA,2026-03-28T21:27:15.543Z,false
11,JINYA Ramen Bar - Logan Circle,9.2,9393,4.1,1406,4.7,7987,$$,"Ramen, Tapas/Small Plates, Cocktail Bars","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJiafiYeq3t4kRS7LKvnjQJy0,2026-03-28T21:27:15.543Z,false
12,il Canale,8.8,9197,4.3,5187,4.5,4010,$$,"Italian, Pizza, Wine Bars","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJrzvE80u2t4kRBCOLYjQMXSQ,2026-03-28T21:27:15.543Z,false
13,Daikaya Ramen Shop,8.5,8918,4.1,3766,4.4,5152,$$,"Ramen, Izakaya, Bars","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJF2yEqzq3t4kRbnlXNGcKUmQ,2026-03-28T21:27:15.543Z,false
14,Ted's Bulletin 14th,8.7,8859,4.0,2386,4.5,6473,$$,"Breakfast & Brunch, New American, Comfort Food","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJkceyP-i3t4kRISOyo8QO6Mo,2026-03-28T21:27:15.543Z,false
15,Jaleo,8.6,8563,3.8,2696,4.5,5867,$$$,"Spanish, Tapas Bars","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJLQH_IJC3t4kRZLetUEiw_Lw,2026-03-28T21:27:15.543Z,false
16,Busboys and Poets,8.6,8224,4.0,2936,4.5,5288,$$,"Breakfast & Brunch, Vegan, New American","Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJ9QBVvOe3t4kRk9O6xcjy8i0,2026-03-28T21:27:15.543Z,false
17,Rasika,8.5,7961,4.2,4060,4.3,3901,$$,Indian,"Washington, DC",https://www.google.com/maps/place/?q=place_id:ChIJJbjP-o-3t4kRpnr_gpNc4pE,2026-03-28T21:27:15.543Z,false
